曲名	站	页面id	页数	类型	目录
大浪漫主义	jianpucn	101347	2	简谱	大浪漫主义__jianpucn-101347
大海	jianpucn	469231	1	改编	大海 （ A调指法原版编配）__jianpucn-469231
大海C调	jianpucn	156843	1	改编	大海C调吉他谱__jianpucn-156843
大海和白云	qupu123	57216	1	简谱	大海和白云（姚辉云词 吴崇生曲）__qupu123-57216
大海捧起了我	qupu123	46890	1	简谱	大海捧起了我__qupu123-46890
大海的寄托	qupu123	308448	1	简谱	大海的寄托__qupu123-308448
大海的故事	qupu123	104226	1	简谱	大海的故事（凌宁词 于立京曲）__qupu123-104226
大海的梦幻	qupu123	230222	1	简谱	大海的梦幻__qupu123-230222
大海简单好听版	jianpucn	218445	2	简谱	大海简单好听版__jianpucn-218445
大海里的并蒂莲	qupu123	51959	1	简谱	大海里的并蒂莲__qupu123-51959
大漠之夜	qupu123	322554	4	改编	大漠之夜（中音独唱、正谱）__qupu123-322554
大漠飞天	jianpucn	453712	1	简谱	大漠飞天__jianpucn-453712
大灌篮插曲	jianpucn	121835	2	简谱	大灌篮插曲（改进版）__jianpucn-121835
大爱之歌	qupu123	303472	1	简谱	大爱之歌 （阮金彪词 贾金喜曲）__qupu123-303472
大爱之路	qupu123	311049	1	简谱	大爱之路__qupu123-311049
大爱如水	qupu123	307322	1	简谱	大爱如水__qupu123-307322
大爱无疆 人间风雨情 片头曲	jianpucn	221239	1	简谱	大爱无疆 人间风雨情 片头曲__jianpucn-221239
大爱芬芳	qupu123	325097	1	简谱	大爱芬芳__qupu123-325097
大王叫我来巡山	qupu123	325603	3	简谱	大王叫我来巡山（郑树人填词 赵英俊曲）__qupu123-325603
大理的茶花开了&nbsp;&nbsp;	jianpucn	343629	3	简谱	大理的茶花开了&nbsp;&nbsp;__jianpucn-343629
大男人	jianpucn	57436	1	简谱	大男人(《康熙王朝》主题歌)__jianpucn-57436
大白杨	qupu123	311547	1	简谱	大白杨__qupu123-311547
大白鹅	qupu123	330358	6	简谱	大白鹅（班南_词曲）__qupu123-330358
大碗花	qupu123	326095	2	简谱	大碗花__qupu123-326095
大秦帝国	jianpujia	18567	1	简谱	大秦帝国简谱(歌词)_廖昌永、谭晶演唱_王wzh曲谱__jianpujia-18567
大笨钟 周杰伦最新力作 十二新作 之	jianpucn	215579	2	简谱	大笨钟 周杰伦最新力作 十二新作 之__jianpucn-215579
大笨钟方文山词周杰伦曲大笨钟方文山词	jianpujia	395278	1	简谱	大笨钟方文山词周杰伦曲大笨钟方文山词_周杰伦曲简谱_周杰伦演唱_方文山_周杰伦词曲__jianpujia-395278
大美中国	qupu123	396404	1	简谱	大美中国（宫婷、姚立森演唱）__qupu123-396404
大美陕西我的家	qupu123	333450	3	简谱	大美陕西我的家__qupu123-333450
大肚腩	qupu123	327108	1	简谱	大肚腩__qupu123-327108
大象和娃娃	qupu123	324644	2	简谱	大象和娃娃__qupu123-324644
大象版 光阴的故事	jianpucn	213003	1	简谱	大象版 光阴的故事__jianpucn-213003
大鱼原神风物之诗琴谱-原琴谱	jianpucn	463633	4	简谱	大鱼原神风物之诗琴谱-原琴谱__jianpucn-463633
大鱼尤克里里谱	jianpucn	461882	1	改编	大鱼尤克里里谱（ 原调四 ）__jianpucn-461882
大鱼指弹	jianpucn	457592	2	改编	大鱼指弹 （ C调吉他独奏 ）__jianpucn-457592
天上人间	jianpucn	68109	1	简谱	天上人间__jianpucn-68109
天上有个红太阳	qupu123	379993	2	简谱	天上有个红太阳__qupu123-379993
天上的街市	qupu123	324371	3	改编	天上的街市（郭沫若诗_牟学农、朱树华曲、正谱）__qupu123-324371
天上草原	qupu123	325405	3	改编	天上草原（刚.宝力道词_好必斯曲、正谱）__qupu123-325405
天下父母心	jianpujia	18896	1	简谱	天下父母心简谱(歌词)_谭晶、杨坤演唱_王wzh曲谱__jianpujia-18896
天下百姓爱清官	qupu123	328741	1	简谱	天下百姓爱清官__qupu123-328741
天下茅山	qupu123	309233	1	简谱	天下茅山__qupu123-309233
天下黄氏	qupu123	375992	2	简谱	天下黄氏（黄氏族歌）__qupu123-375992
天亮了	jianpucn	280374	3	改编	天亮了 （F调单把吉他版）__jianpucn-280374
天亮了-幸福版	jianpucn	101104	2	简谱	天亮了-幸福版__jianpucn-101104
天使 吉他谱六线谱 许巍	qupu123	90823	4	改编	天使 吉他谱六线谱 许巍（卢家兴编 ）__qupu123-90823
天使 编	jianpucn	239733	4	简谱	天使 编__jianpucn-239733
天使-无月天	jianpucn	90896	1	简谱	天使-无月天__jianpucn-90896
天使与海豚	jianpucn	8612	1	简谱	天使与海豚__jianpucn-8612
天台 电影原声带 - 无助	jianpucn	226391	2	简谱	天台 电影原声带 - 无助__jianpucn-226391
天台 电影原声带 - 美景	jianpucn	226278	2	简谱	天台 电影原声带 - 美景__jianpucn-226278
天台 电影原声带--英雄之歌	jianpucn	226338	1	简谱	天台 电影原声带--英雄之歌__jianpucn-226338
天台.电影原声带-水管的友情	jianpucn	226564	1	简谱	天台.电影原声带-水管的友情（C调版）__jianpucn-226564
天台的月光	jianpucn	226187	2	改编	天台的月光（吴凌云完整钢琴版） 五线谱—__jianpucn-226187
天台的月光 《天台爱情》插曲	jianpucn	227089	1	简谱	天台的月光 《天台爱情》插曲__jianpucn-227089
天台的月光 吴凌云版 完整钢琴版	jianpucn	226178	2	改编	天台的月光 吴凌云版 完整钢琴版__jianpucn-226178
天台的月光 钢琴独奏谱 五线谱—	jianpucn	226074	1	改编	天台的月光 钢琴独奏谱 五线谱— （鸠玖独奏版、带指法）__jianpucn-226074
天各一方	jianpucn	55256	1	简谱	天各一方(粤语)__jianpucn-55256
天各一方-琴放版	jianpucn	10056	1	简谱	天各一方-琴放版__jianpucn-10056
天各一方钢琴	jianpujia	245519	5	改编	天各一方钢琴简谱_刘德华演唱__jianpujia-245519
天地都在我心中	jianpucn	4036	1	简谱	天地都在我心中__jianpucn-4036
天地香	qupu123	329493	1	简谱	天地香__qupu123-329493
天坛之约	jianpujia	20083	1	简谱	天坛之约简谱(歌词)_雷佳演唱_momoliu曲谱__jianpujia-20083
天外来物钢琴	jianpujia	153013	4	改编	天外来物钢琴简谱_数字双手_薛之谦__jianpujia-153013
天河	qupu123	332315	2	简谱	天河（左保斌_词曲）__qupu123-332315
天涯海角-弹唱 吉他类 流行	jianpucn	113121	2	改编	天涯海角-弹唱 吉他类 流行__jianpucn-113121
天空	jianpucn	103548	2	简谱	天空__jianpucn-103548
天空 诗人	jianpucn	218330	2	简谱	天空 诗人__jianpucn-218330
天空夜曲	jianpucn	218558	2	简谱	天空夜曲__jianpucn-218558
天空简单弹唱版	jianpucn	181081	1	改编	天空简单弹唱版__jianpucn-181081
天籁传奇	jianpucn	136950	1	简谱	天籁传奇__jianpucn-136950
天蓝蓝,海蓝蓝	qupu123	321376	12	改编	天蓝蓝,海蓝蓝（正谱）__qupu123-321376
天路 1 D	jianpucn	420233	1	简谱	天路 1 D__jianpucn-420233
天路独奏	jianpucn	170882	2	改编	天路独奏__jianpucn-170882
天边	jianpucn	305059	3	改编	天边（小提琴中提琴大提琴）弦乐五重奏__jianpucn-305059
天边的骆驼	jianpucn	83287	1	简谱	天边的骆驼(第1页)__jianpucn-83287
天都石榴红	qupu123	333303	1	简谱	天都石榴红__qupu123-333303
天长地久	jianpujia	20079	1	简谱	天长地久简谱(歌词)_王丽达汤子星演唱_momoliu曲谱__jianpujia-20079
天黑 吉他类 流行	jianpucn	117727	2	改编	天黑 吉他类 流行__jianpucn-117727
天黑 弹唱版 键盘类 钢琴	jianpucn	113479	2	改编	天黑 弹唱版 键盘类 钢琴__jianpucn-113479
天黑-版本一	jianpucn	178223	2	简谱	天黑-版本一__jianpucn-178223
天黑黑 歌曲类 钢琴伴奏谱	jianpucn	112577	2	改编	天黑黑 歌曲类 钢琴伴奏谱__jianpucn-112577
天黑黑 简化	jianpucn	215178	3	简谱	天黑黑 简化__jianpucn-215178
天黑黑-冰岛的雨季	jianpucn	100490	2	简谱	天黑黑-冰岛的雨季__jianpucn-100490
天黑黑-弹唱版	jianpucn	103707	2	改编	天黑黑-弹唱版__jianpucn-103707
天黑黑弹唱版本	jianpucn	218343	2	改编	天黑黑弹唱版本__jianpucn-218343
天黑黑指弹	jianpucn	457333	1	改编	天黑黑指弹 （ 吉他独奏 ）__jianpucn-457333
天黑黑钢琴	jianpujia	149626	4	改编	天黑黑钢琴简谱_邓丽君演唱__jianpujia-149626
太浦河之歌	qupu123	322342	3	改编	太浦河之歌（正谱）__qupu123-322342
太湖水&nbsp;&nbsp;	jianpucn	475893	11	简谱	太湖水&nbsp;&nbsp;__jianpucn-475893
太空e家	qupu123	328537	1	简谱	太空e家__qupu123-328537
太阳出来照山坳	qupu123	335907	2	改编	太阳出来照山坳（男声重唱、五线谱）__qupu123-335907
太阳的故乡	qupu123	311068	1	简谱	太阳的故乡（谢安庆词 陈涤非曲）__qupu123-311068
失忆	jianpucn	4112	1	简谱	失忆__jianpucn-4112
失忆蝴蝶	jianpujia	15473	9	简谱	失忆蝴蝶简谱_陈奕迅_不用沦为伴侣_别寻是惹非__jianpujia-15473
失忆蝴蝶钢琴	jianpujia	150740	8	改编	失忆蝴蝶钢琴简谱_陈奕迅演唱__jianpujia-150740
失联的爱	qupu123	306535	1	简谱	失联的爱__qupu123-306535
夸咱农村大变化	qupu123	333706	3	简谱	夸咱农村大变化（表演唱）__qupu123-333706
奇迹	jianpucn	279512	1	简谱	奇迹（ 演唱）__jianpucn-279512
奋斗能迎来万家欢	qupu123	326415	1	简谱	奋斗能迎来万家欢（刘岐山词 于珂群曲）__qupu123-326415
奔向大海	qupu123	110707	1	简谱	奔向大海（马熙词 纪普曲）__qupu123-110707
女人四十才成花	qupu123	322104	1	简谱	女人四十才成花__qupu123-322104
女人如烟	qupu123	320089	1	简谱	女人如烟__qupu123-320089
女人的名字	jianpucn	4306	1	简谱	女人的名字__jianpucn-4306
女人花&nbsp;&nbsp;	jianpucn	34009	1	简谱	女人花&nbsp;&nbsp;__jianpucn-34009
女人花在秋冬	qupu123	306501	1	简谱	女人花在秋冬__qupu123-306501
女人花开香天下	qupu123	312487	1	简谱	女人花开香天下__qupu123-312487
女人辛苦女人美	qupu123	317223	1	简谱	女人辛苦女人美__qupu123-317223
女人香	jianpucn	419923	2	改编	女人香(《吻别 歌曲改编的钢琴曲》)__jianpucn-419923
女儿情	qupu123	1398	3	简谱	女儿情（电视剧《西游记》插曲）__qupu123-1398
女校男生	jianpucn	103309	2	简谱	女校男生__jianpucn-103309
她在睡梦中-弹唱 吉他类 流行	jianpucn	112967	2	改编	她在睡梦中-弹唱 吉他类 流行__jianpucn-112967
她教我的事	jianpucn	10157	1	简谱	她教我的事__jianpucn-10157
她是我梦中的啬薇花	qupu123	305268	1	简谱	她是我梦中的啬薇花__qupu123-305268
她来听我演唱会	jianpucn	177293	2	简谱	她来听我演唱会__jianpucn-177293
她来听我的演唱会	jianpucn	461896	2	简谱	她来听我的演唱会 （ G调原版）__jianpucn-461896
她来听我的演唱会 -G调	jianpucn	468439	2	简谱	她来听我的演唱会 -G调__jianpucn-468439
她说 -C调	jianpucn	468533	2	简谱	她说 -C调__jianpucn-468533
她说- 李雪吉他音乐	jianpucn	273594	2	改编	她说- 李雪吉他音乐__jianpucn-273594
她说高清谱	jianpucn	213046	1	简谱	她说高清谱__jianpucn-213046
好久不见 初级进阶版	jianpucn	408005	1	改编	好久不见 初级进阶版 （ 吉他教学）__jianpucn-408005
好久不见 初级进阶版 酷音小伟编谱	jianpucn	408272	1	简谱	好久不见 初级进阶版 酷音小伟编谱__jianpucn-408272
好久不见 陈奕迅 吉他	qupu123	356800	2	改编	好久不见 陈奕迅 吉他弹唱谱__qupu123-356800
好久不见尤克里里谱	jianpucn	461255	1	改编	好久不见尤克里里谱（ C调带前奏版）__jianpucn-461255
好久不见独奏	jianpucn	213559	3	改编	好久不见独奏__jianpucn-213559
好久不见简单版 酷音小伟吉他教学	jianpucn	408273	1	改编	好久不见简单版 酷音小伟吉他教学__jianpucn-408273
好久不见钢琴	jianpujia	248264	5	改编	好久不见钢琴简谱_陈奕迅演唱__jianpujia-248264
好似一对金凤凰	qupu123	325036	3	改编	好似一对金凤凰（女声无伴奏合唱、五线谱）__qupu123-325036
好兄弟	qupu123	323355	1	简谱	好兄弟（黑龙演唱版）__qupu123-323355
好好	jianpucn	468020	2	简谱	好好 （ C调）__jianpucn-468020
好想哭	jianpucn	53386	1	简谱	好想哭__jianpucn-53386
好想对你说	qupu123	308655	1	简谱	好想对你说（欧阳晓波词曲）__qupu123-308655
好想爱这个世界啊尤克里里谱	jianpucn	461256	1	改编	好想爱这个世界啊尤克里里谱（ C调）__jianpucn-461256
好想让你陪我到老	qupu123	308239	1	简谱	好想让你陪我到老__qupu123-308239
好日子 钢琴版	jianpucn	219647	2	改编	好日子 钢琴版__jianpucn-219647
好梦开了头	jianpujia	18510	1	简谱	好梦开了头简谱(歌词)_雷佳演唱_王wzh曲谱__jianpujia-18510
好男人不该让自己女人来哭泣	qupu123	310105	1	简谱	好男人不该让自己女人来哭泣__qupu123-310105
好男儿	qupu123	308571	1	简谱	好男儿（王立君词 姜丽娟曲）__qupu123-308571
好聚好散吉他	jianpucn	220380	1	改编	好聚好散吉他__jianpucn-220380
好运旺	qupu123	307522	1	简谱	好运旺__qupu123-307522
如今的你在哪里	qupu123	315445	1	简谱	如今的你在哪里__qupu123-315445
如愿	jianpujia	231879	2	简谱	如愿(电影_我和我的父辈_主题推广曲)简谱_王菲演唱_日日爱日日未曲谱__jianpujia-231879
如愿简谱歌词	jianpujia	235342	3	简谱	如愿简谱歌词_王菲演唱_电影_我和我的父辈_主题推广曲__jianpujia-235342
如愿钢琴	jianpujia	249839	3	改编	如愿钢琴简谱_王菲演唱__jianpujia-249839
如月	qupu123	311036	1	简谱	如月__qupu123-311036
如果	qupu123	328898	1	简谱	如果（花仙子词 快乐好歌曲）__qupu123-328898
如果你要来	qupu123	304317	1	简谱	如果你要来__qupu123-304317
如果可以不爱&nbsp;&nbsp;	jianpucn	118474	1	简谱	如果可以不爱&nbsp;&nbsp;__jianpucn-118474
如果可以不爱你&nbsp;&nbsp;	jianpucn	135936	1	简谱	如果可以不爱你&nbsp;&nbsp;__jianpucn-135936
如果可以原谅&nbsp;&nbsp;	jianpucn	421217	3	简谱	如果可以原谅&nbsp;&nbsp;__jianpucn-421217
如果可以爱&nbsp;&nbsp;	jianpucn	341013	1	简谱	如果可以爱&nbsp;&nbsp;__jianpucn-341013
如果可以牵手	qupu123	49433	1	简谱	如果可以牵手__qupu123-49433
如果可以牵手&nbsp;&nbsp;	jianpucn	185343	1	简谱	如果可以牵手&nbsp;&nbsp;__jianpucn-185343
如果我们不曾相遇钢琴	jianpujia	380048	4	改编	如果我们不曾相遇钢琴简谱_五月天演唱__jianpujia-380048
如果我现在	jianpucn	537	3	简谱	如果我现在__jianpucn-537
如果有一天	jianpucn	58745	1	简谱	如果有一天（道地绿茶2003广告歌）__jianpucn-58745
如果有一天我变得很有钱	jianpucn	445540	2	改编	如果有一天我变得很有钱( G调弹唱谱)__jianpucn-445540
如果没有-	jianpucn	117928	2	改编	如果没有-总谱__jianpucn-117928
如果没有你 -C调	jianpucn	464675	2	简谱	如果没有你 -C调__jianpucn-464675
如果没有你 琅琅吉他原版	jianpucn	214272	1	改编	如果没有你 琅琅吉他原版__jianpucn-214272
如果没有你1	jianpucn	4448	1	简谱	如果没有你1__jianpucn-4448
如果没有你2	jianpucn	4449	1	简谱	如果没有你2__jianpucn-4449
如果没有你——C调简易版	jianpucn	120763	2	简谱	如果没有你——C调简易版__jianpucn-120763
如果没有你女声弹唱版 降B调	jianpucn	218552	2	改编	如果没有你女声弹唱版 降B调__jianpucn-218552
如果爱 歌曲类 钢琴伴奏谱	jianpucn	112362	2	改编	如果爱 歌曲类 钢琴伴奏谱__jianpucn-112362
如果爱-简易版-弹唱 吉他类 流行	jianpucn	113138	1	改编	如果爱-简易版-弹唱 吉他类 流行__jianpucn-113138
如果眼泪能够把往事带走	qupu123	308932	1	简谱	如果眼泪能够把往事带走__qupu123-308932
如果能在一起	jianpucn	11036	1	简谱	如果能在一起__jianpucn-11036
如果还有明天	qupu123	321908	1	简谱	如果还有明天（刘伟仁 词曲）__qupu123-321908
如梦芙蕖深锁愁	qupu123	306529	1	简谱	如梦芙蕖深锁愁__qupu123-306529
如烟	jianpucn	165731	2	改编	如烟 吉他谱__jianpucn-165731
妈妈 宝贝	jianpucn	345308	1	简谱	妈妈 宝贝__jianpucn-345308
妈妈呀，我多么爱你	jianpujia	20017	1	简谱	妈妈呀，我多么爱你简谱(歌词)_雷佳演唱_momoliu曲谱__jianpujia-20017
妈妈的希望	jianpucn	285892	1	简谱	妈妈的希望（故事片《飘花头巾》插曲） —__jianpucn-285892
妈妈的生日	qupu123	319630	2	改编	妈妈的生日（王光池词_张烈曲、五线谱版）__qupu123-319630
妈妈的话-	jianpucn	101294	2	改编	妈妈的话-（完美总谱版——专心制谱）__jianpucn-101294
妈妈，你快回来吧	qupu123	222001	1	简谱	妈妈，你快回来吧__qupu123-222001
妳好嗎	jianpucn	258927	2	简谱	妳好嗎（彈唱）__jianpucn-258927
妹妹的眼睛会放电	qupu123	308466	1	简谱	妹妹的眼睛会放电 （毛翰词 李翼曲）__qupu123-308466
妹是凤凰莫展翅	qupu123	335885	2	改编	妹是凤凰莫展翅（男声二重唱、五线谱）__qupu123-335885
妻子	jianpujia	19960	1	简谱	妻子简谱(歌词)_谭晶演唱_沈公宝曲谱__jianpujia-19960
始发站	qupu123	311962	1	简谱	始发站__qupu123-311962
始终会行运TVB电视剧	jianpujia	388543	1	简谱	始终会行运TVB电视剧_鹿鼎记_主题曲始终会行运TVB电视剧_鹿鼎记__主题曲简谱__jianpujia-388543
姐妹俩	qupu123	226582	1	简谱	姐妹俩__qupu123-226582
姐妹花	qupu123	337356	1	简谱	姐妹花__qupu123-337356
姐姐	qupu123	361867	1	改编	姐姐（乐队总谱）__qupu123-361867
姑娘你太美	qupu123	311327	1	简谱	姑娘你太美__qupu123-311327
姑娘十八一朵花	jianpujia	18688	1	简谱	姑娘十八一朵花简谱(歌词)_邓丽君演唱_王wzh曲谱__jianpujia-18688
姑娘站在马背上	qupu123	303129	1	简谱	姑娘站在马背上__qupu123-303129
姜育恒-驿动的心	jianpucn	95927	1	简谱	姜育恒-驿动的心__jianpucn-95927
姜育恒《驿动的心》前奏版超清谱 老歌大叔吉他教室出品	qupu123	342896	1	改编	姜育恒《驿动的心》前奏版超清谱 老歌大叔吉他教室出品__qupu123-342896
威廉古堡	jianpucn	101501	2	简谱	威廉古堡__jianpucn-101501
娱乐圈没有圈	qupu123	306660	1	简谱	娱乐圈没有圈__qupu123-306660
婆婆就是妈	jianpujia	19647	1	简谱	婆婆就是妈简谱(歌词)_谭晶演唱_沈公宝记谱__jianpujia-19647
婚礼上给女儿的歌	qupu123	311438	1	简谱	婚礼上给女儿的歌__qupu123-311438
婚礼的祝福	jianpucn	8995	1	简谱	婚礼的祝福__jianpucn-8995
婚礼进行曲	jianpucn	100501	1	简谱	婚礼进行曲__jianpucn-100501
媳妇等我回家	qupu123	303258	1	简谱	媳妇等我回家（范修奎词 赵翔曲）__qupu123-303258
孙楠韩红 美丽的神话	qupu123	368676	4	改编	孙楠韩红 美丽的神话 吉他谱（无限延音编配）__qupu123-368676
孙燕姿 天黑黑	qupu123	368486	4	改编	孙燕姿 天黑黑 吉他谱（无限延音编配）__qupu123-368486
孙燕姿 遇见 男生版	qupu123	348856	4	改编	孙燕姿 遇见 男生版 吉他谱（无限延音编配）__qupu123-348856
孙燕姿《遇见》考级版超清谱 老歌大叔吉他教室出品	qupu123	342716	3	改编	孙燕姿《遇见》考级版超清谱 老歌大叔吉他教室出品__qupu123-342716
孟母三迁	qupu123	326346	1	简谱	孟母三迁__qupu123-326346
孤儿仔	jianpucn	103395	2	简谱	孤儿仔__jianpucn-103395
孤勇者钢琴	jianpujia	249974	6	改编	孤勇者钢琴简谱_陈奕迅演唱__jianpujia-249974
孤单心酸女	jianpucn	279548	1	简谱	孤单心酸女（闽南语歌曲）__jianpucn-279548
孤心泪	jianpucn	213265	2	简谱	孤心泪__jianpucn-213265
孤独娱乐钢琴	jianpujia	383574	6	改编	孤独娱乐钢琴简谱_林俊杰演唱__jianpujia-383574
孤独患者	jianpucn	463050	1	改编	孤独患者 （ C调原版编配）__jianpucn-463050
孤独的心	qupu123	311030	1	简谱	孤独的心__qupu123-311030
孤芳自赏的花	qupu123	318591	1	简谱	孤芳自赏的花__qupu123-318591
孤雁	jianpujia	25996	1	简谱	孤雁简谱(歌词)_邓丽君演唱_秋叶起舞记谱上传__jianpujia-25996
学不会	jianpucn	468474	1	改编	学不会 （ G调指法原版编配）__jianpucn-468474
学不会 钢琴伴奏	jianpucn	183345	1	改编	学不会 钢琴伴奏__jianpucn-183345
学厨艺&nbsp;&nbsp;	jianpucn	475660	11	简谱	学厨艺&nbsp;&nbsp;__jianpucn-475660
学工歌&nbsp;&nbsp;	jianpucn	475663	11	简谱	学工歌&nbsp;&nbsp;__jianpucn-475663
学电脑&nbsp;&nbsp;	jianpucn	475615	11	简谱	学电脑&nbsp;&nbsp;__jianpucn-475615
孩子他妈	qupu123	326414	1	简谱	孩子他妈（刘岐山词 于珂群曲）__qupu123-326414
孩子王	jianpucn	58023	1	简谱	孩子王__jianpucn-58023
宁夏 歌曲类 钢琴伴奏谱	jianpucn	112366	2	改编	宁夏 歌曲类 钢琴伴奏谱__jianpucn-112366
宁夏-弹唱 吉他类 流行	jianpucn	113040	1	改编	宁夏-弹唱 吉他类 流行__jianpucn-113040
宁夏-简易版-弹唱 吉他类 流行	jianpucn	113041	1	改编	宁夏-简易版-弹唱 吉他类 流行__jianpucn-113041
宁夏—简易版 键盘类 钢琴	jianpucn	113645	1	改编	宁夏—简易版 键盘类 钢琴__jianpucn-113645
守候	qupu123	325532	1	简谱	守候（杜林栋词 江峰曲）__qupu123-325532
守候在原地	qupu123	325188	1	简谱	守候在原地__qupu123-325188
守望草原	jianpucn	451556	4	简谱	守望草原（2021藏历春节联欢晚会））__jianpucn-451556
安全感	jianpucn	103665	2	简谱	安全感__jianpucn-103665
安全生产十条规定《小苹果》	qupu123	329354	1	简谱	安全生产十条规定《小苹果》__qupu123-329354
安宁	jianpucn	177050	1	简谱	安宁__jianpucn-177050
安静 伴奏谱	jianpucn	214242	2	改编	安静 伴奏谱__jianpucn-214242
安静 歌曲类 钢琴伴奏谱	jianpucn	112297	2	改编	安静 歌曲类 钢琴伴奏谱__jianpucn-112297
安静-演奏版	jianpucn	101148	2	简谱	安静-演奏版__jianpucn-101148
安静-简易版 键盘类 钢琴	jianpucn	114299	2	改编	安静-简易版 键盘类 钢琴__jianpucn-114299
安静2	jianpucn	208744	2	简谱	安静2__jianpucn-208744
安静The One演唱会版	jianpucn	103542	2	改编	安静The One演唱会版（总谱）__jianpucn-103542
安静周杰伦词曲、带和弦谱	jianpujia	404844	2	改编	安静周杰伦词曲、带和弦谱简谱_周杰伦演唱_周杰伦_周杰伦词曲__jianpujia-404844
安静认证谱	jianpucn	175376	1	简谱	安静认证谱__jianpucn-175376
宋祖英-大地飞歌	jianpucn	95907	1	简谱	宋祖英-大地飞歌__jianpucn-95907
完-	jianpucn	242155	2	简谱	完-__jianpucn-242155
完- -修改版	jianpucn	242323	2	简谱	完- -修改版__jianpucn-242323
完全的拥有	jianpucn	208762	1	简谱	完全的拥有__jianpucn-208762
完美主义	jianpucn	102116	2	简谱	完美主义__jianpucn-102116
完美新世界	jianpucn	201218	1	简谱	完美新世界__jianpucn-201218
完美生活-扫描	jianpucn	201581	1	简谱	完美生活-扫描__jianpucn-201581
完美的一天	jianpucn	2815	1	简谱	完美的一天__jianpucn-2815
宏义钢铁汉	qupu123	333052	2	简谱	宏义钢铁汉__qupu123-333052
宜昌队&nbsp;&nbsp;	jianpucn	475898	11	简谱	宜昌队&nbsp;&nbsp;__jianpucn-475898
宜春我的家	qupu123	306986	1	简谱	宜春我的家__qupu123-306986
宝贝	jianpujia	19990	1	简谱	宝贝简谱(歌词)_王丽达演唱_momoliu曲谱__jianpujia-19990
宠辱不惊	qupu123	310398	1	简谱	宠辱不惊（蒋燕 词曲）__qupu123-310398
客家凉帽	qupu123	305549	1	简谱	客家凉帽__qupu123-305549
害怕	jianpucn	29914	2	简谱	害怕__jianpucn-29914
害怕 伴奏	jianpucn	218648	2	改编	害怕 伴奏__jianpucn-218648
害怕 钢琴独奏	jianpucn	244289	2	改编	害怕 钢琴独奏__jianpucn-244289
家 许巍	qupu123	371497	3	改编	家 许巍 （免费吉他谱）__qupu123-371497
家乡	jianpucn	100573	2	简谱	家乡__jianpucn-100573
家乡人	jianpucn	467492	1	改编	家乡人 （ 周深 C调原版编配）__jianpucn-467492
家人	jianpujia	18453	1	简谱	家人简谱(歌词)_谭晶演唱_王wzh曲谱__jianpujia-18453
家住大海边	qupu123	47164	1	简谱	家住大海边__qupu123-47164
家是什么	qupu123	316955	1	简谱	家是什么（康健春词 武秀林曲）__qupu123-316955
家是有爱的地方	qupu123	319237	1	简谱	家是有爱的地方__qupu123-319237
家门	qupu123	322962	1	简谱	家门（纪铭战词 南风曲）__qupu123-322962
家风	jianpujia	20122	1	简谱	家风简谱(歌词)_王丽达汤子星演唱_momoliu曲谱__jianpujia-20122
家风百字歌	qupu123	328568	1	简谱	家风百字歌__qupu123-328568
容易受伤的女人钢琴	jianpujia	250144	4	改编	容易受伤的女人钢琴简谱_王菲演唱__jianpujia-250144
容祖儿	qupu123	353764	3	改编	容祖儿_林俊杰 这就是爱吗 吉他谱（无限延音编配）__qupu123-353764
寂寞为谁哭泣	qupu123	323260	1	简谱	寂寞为谁哭泣__qupu123-323260
寂寞无声	jianpucn	109473	2	简谱	寂寞无声（简谱版）__jianpucn-109473
寂寞星球	jianpucn	195181	2	简谱	寂寞星球__jianpucn-195181
寂寞沙洲冷-简易版-弹唱 吉他类 流行	jianpucn	112973	1	改编	寂寞沙洲冷-简易版-弹唱 吉他类 流行__jianpucn-112973
寂寞沙洲思念谁	jianpucn	293930	1	简谱	寂寞沙洲思念谁（ukulele四 ）__jianpucn-293930
寂寞的男人	jianpucn	419921	2	改编	寂寞的男人(《吻别 歌曲改编的钢琴曲》)__jianpucn-419921
寂寞的眼	jianpucn	5608	1	简谱	寂寞的眼__jianpucn-5608
寂寞花	qupu123	305467	1	简谱	寂寞花__qupu123-305467
寂寞让你更快乐	jianpucn	285768	1	简谱	寂寞让你更快乐__jianpucn-285768
寂寞里徘徊 渴望里等待	qupu123	313422	1	简谱	寂寞里徘徊 渴望里等待（萧思林词 于洪涛曲）__qupu123-313422
寂寞难耐 卢家兴	jianpucn	222079	2	简谱	寂寞难耐 卢家兴__jianpucn-222079
寂寞难耐尤克里里谱	jianpucn	462364	1	改编	寂寞难耐尤克里里谱（ G调尤克里里弹唱谱）__jianpucn-462364
寂静之声	qupu123	358463	1	简谱	寂静之声（The Sound of Silence）__qupu123-358463
寄明月&nbsp;&nbsp;	jianpucn	475792	8	简谱	寄明月&nbsp;&nbsp;__jianpucn-475792
寄相思风雨中&nbsp;&nbsp;	jianpucn	119082	1	简谱	寄相思风雨中&nbsp;&nbsp;__jianpucn-119082
寄语江南	qupu123	328708	1	简谱	寄语江南__qupu123-328708
富士山下钢琴	jianpujia	245438	8	改编	富士山下钢琴简谱_陈奕迅演唱__jianpujia-245438
富贵梦	qupu123	370102	3	简谱	富贵梦__qupu123-370102
寒夜曲	qupu123	325031	1	简谱	寒夜曲__qupu123-325031
寒山问拾得	qupu123	304197	1	简谱	寒山问拾得__qupu123-304197
