目标曲名	页面标题	页面id	判定	类型	本地目录
我怀念的	我怀念的（韩剧《绿蔷薇》片头曲、编配乐谱）	34766	不同歌✗	改编/器乐	qupu123-mp043/我怀念的（韩剧《绿蔷薇》片头曲、编配乐谱）__qupu123-34766
我怀念的	故乡啊，我怀念的天堂	66974	疑似	简谱(疑似可转写)	qupu123-mp043/故乡啊，我怀念的天堂__qupu123-66974
不想长大	不想长大（编配乐谱）	35065	同名✓	改编/器乐	qupu123-mp045/不想长大（编配乐谱）__qupu123-35065
中国话	中国话 大文化	115149	疑似	简谱(疑似可转写)	qupu123-mp046/中国话 大文化__qupu123-115149
中国话	中国话（曹光斌词 朝乐蒙曲）	192745	同名✓	简谱(疑似可转写)	qupu123-mp046/中国话（曹光斌词 朝乐蒙曲）__qupu123-192745
中国话	中国话（编配乐谱）	34893	同名✓	改编/器乐	qupu123-mp046/中国话（编配乐谱）__qupu123-34893
中国话	说中国话 过中国节	306270	不同歌✗	简谱(疑似可转写)	qupu123-mp046/说中国话 过中国节__qupu123-306270
亲爱的那不是爱情	亲爱的那不是爱情（简和谱）	350936	同名✓	改编/器乐	qupu123-mp048/亲爱的那不是爱情（简和谱）__qupu123-350936
亲爱的那不是爱情	亲爱的那不是爱情（编配乐谱）	34658	同名✓	改编/器乐	qupu123-mp048/亲爱的那不是爱情（编配乐谱）__qupu123-34658
亲爱的那不是爱情	张韶涵 亲爱的那不是爱情 吉他谱（无限延音编配）	352125	同名✓	改编/器乐	qupu123-mp048/张韶涵 亲爱的那不是爱情 吉他谱（无限延音编配）__qupu123-352125
爱很简单	爱很简单（吉他谱）	69347	同名✓	改编/器乐	qupu123-mp049/爱很简单（吉他谱）__qupu123-69347
爱很简单	爱很简单（简和谱）	339552	同名✓	改编/器乐	qupu123-mp049/爱很简单（简和谱）__qupu123-339552
爱很简单	爱很简单（编配乐谱）	296289	同名✓	改编/器乐	qupu123-mp049/爱很简单（编配乐谱）__qupu123-296289
爱很简单	陶喆 爱很简单 吉他谱（无限延音编配）	371964	同名✓	改编/器乐	qupu123-mp049/陶喆 爱很简单 吉他谱（无限延音编配）__qupu123-371964
普通朋友	​普通朋友	245906	同名✓	简谱(疑似可转写)	qupu123-mp050/​普通朋友__qupu123-245906
就是爱你	就是爱你（吉他六线谱）	225616	同名✓	改编/器乐	qupu123-mp051/就是爱你（吉他六线谱）__qupu123-225616
就是爱你	就是爱你（许冬子词 谭永红曲）	256071	同名✓	简谱(疑似可转写)	qupu123-mp051/就是爱你（许冬子词 谭永红曲）__qupu123-256071
就是爱你	我就是爱你	94353	同名✓	简谱(疑似可转写)	qupu123-mp051/我就是爱你__qupu123-94353
大城小爱	大城小爱	217312	同名✓	简谱(疑似可转写)	qupu123-mp9012/大城小爱__qupu123-217312
大城小爱	大城小爱	378876	同名✓	简谱(疑似可转写)	qupu123-mp9012/大城小爱__qupu123-378876
大城小爱	大城小爱（简和谱）	349535	同名✓	改编/器乐	qupu123-mp9012/大城小爱（简和谱）__qupu123-349535
大城小爱	大城小爱（编配乐谱）	35075	同名✓	改编/器乐	qupu123-mp9012/大城小爱（编配乐谱）__qupu123-35075
心中的日月	心中的日月（曲木铁西词 乌兰托嘎曲）	271508	同名✓	简谱(疑似可转写)	qupu123-mp054/心中的日月（曲木铁西词 乌兰托嘎曲）__qupu123-271508
心中的日月	心中的日月（王健词 颜辉曲）	70541	同名✓	简谱(疑似可转写)	qupu123-mp054/心中的日月（王健词 颜辉曲）__qupu123-70541
心中的日月	心中的日月（编配乐谱）	34730	同名✓	改编/器乐	qupu123-mp054/心中的日月（编配乐谱）__qupu123-34730
心中的日月	心中的日月（陈宇佐词 王力宏曲）	4801	同名✓	简谱(疑似可转写)	qupu123-mp054/心中的日月（陈宇佐词 王力宏曲）__qupu123-4801
需要人陪	需要人陪	378929	同名✓	简谱(疑似可转写)	qupu123-mp055/需要人陪__qupu123-378929
需要人陪	需要人陪（吉他六线谱）	29765	同名✓	改编/器乐	qupu123-mp055/需要人陪（吉他六线谱）__qupu123-29765
需要人陪	需要人陪（拇指琴卡林巴琴和弦简谱）	336977	同名✓	改编/器乐	qupu123-mp055/需要人陪（拇指琴卡林巴琴和弦简谱）__qupu123-336977
需要人陪	需要人陪（简和谱）	346170	同名✓	改编/器乐	qupu123-mp055/需要人陪（简和谱）__qupu123-346170
姐妹	姐妹俩	226582	疑似	简谱(疑似可转写)	qupu123-mp056/姐妹俩__qupu123-226582
姐妹	姐妹花	337356	疑似	简谱(疑似可转写)	qupu123-mp056/姐妹花__qupu123-337356
姐妹	姐妹花（车行词 李昕曲）	57032	疑似	简谱(疑似可转写)	qupu123-mp056/姐妹花（车行词 李昕曲）__qupu123-57032
我可以抱你吗	我可以抱你吗（简和谱）	345568	同名✓	改编/器乐	qupu123-mp057/我可以抱你吗（简和谱）__qupu123-345568
剪爱	剪爱（吉他六线谱）	291052	同名✓	改编/器乐	qupu123-mp058/剪爱（吉他六线谱）__qupu123-291052
剪爱	剪爱（简和谱）	364207	同名✓	改编/器乐	qupu123-mp058/剪爱（简和谱）__qupu123-364207
千千阙歌	千千阙歌	377993	同名✓	简谱(疑似可转写)	qupu123-mp060/千千阙歌__qupu123-377993
千千阙歌	千千阙歌（粤语版）	260965	同名✓	简谱(疑似可转写)	qupu123-mp060/千千阙歌（粤语版）__qupu123-260965
千千阙歌	千千阙歌（粤语）	5758	同名✓	简谱(疑似可转写)	qupu123-mp060/千千阙歌（粤语）__qupu123-5758
铁血丹心	铁血丹心	236699	同名✓	简谱(疑似可转写)	qupu123-mp062/铁血丹心__qupu123-236699
铁血丹心	铁血丹心	374532	同名✓	简谱(疑似可转写)	qupu123-mp062/铁血丹心__qupu123-374532
铁血丹心	铁血丹心	381085	同名✓	简谱(疑似可转写)	qupu123-mp062/铁血丹心__qupu123-381085
月半小夜曲	月半小夜曲	303278	同名✓	简谱(疑似可转写)	qupu123-mp063/月半小夜曲__qupu123-303278
月半小夜曲	月半小夜曲	380696	同名✓	简谱(疑似可转写)	qupu123-mp063/月半小夜曲__qupu123-380696
月半小夜曲	月半小夜曲（古筝谱）	357795	同名✓	改编/器乐	qupu123-mp063/月半小夜曲（古筝谱）__qupu123-357795
月半小夜曲	月半小夜曲（简和谱）	346348	同名✓	改编/器乐	qupu123-mp063/月半小夜曲（简和谱）__qupu123-346348
今宵多珍重	今宵多珍重	294770	同名✓	简谱(疑似可转写)	qupu123-mp064/今宵多珍重__qupu123-294770
今宵多珍重	今宵多珍重	330563	同名✓	简谱(疑似可转写)	qupu123-mp064/今宵多珍重__qupu123-330563
今宵多珍重	今宵多珍重（粤语）	1753	同名✓	简谱(疑似可转写)	qupu123-mp064/今宵多珍重（粤语）__qupu123-1753
沧海一声笑	沧海一声笑	315555	同名✓	简谱(疑似可转写)	qupu123-mp065/沧海一声笑__qupu123-315555
沧海一声笑	沧海一声笑	374586	同名✓	简谱(疑似可转写)	qupu123-mp065/沧海一声笑__qupu123-374586
沧海一声笑	沧海一声笑（乐队总谱）	358808	同名✓	改编/器乐	qupu123-mp065/沧海一声笑（乐队总谱）__qupu123-358808
沧海一声笑	沧海一声笑（葫芦丝谱）	306350	同名✓	简谱(疑似可转写)	qupu123-mp065/沧海一声笑（葫芦丝谱）__qupu123-306350
笑看风云	笑看风云（免费吉他谱）	372394	同名✓	改编/器乐	qupu123-mp066/笑看风云（免费吉他谱）__qupu123-372394
冬天里的一把火	冬天里的一把火	1038	同名✓	简谱(疑似可转写)	qupu123-mp067/冬天里的一把火__qupu123-1038
冬天里的一把火	冬天里的一把火	2234	同名✓	简谱(疑似可转写)	qupu123-mp067/冬天里的一把火__qupu123-2234
滚滚红尘	滚滚红尘（乐队总谱）	351986	同名✓	改编/器乐	qupu123-mp068/滚滚红尘（乐队总谱）__qupu123-351986
滚滚红尘	滚滚红尘（梦之旅组合）	375692	同名✓	简谱(疑似可转写)	qupu123-mp068/滚滚红尘（梦之旅组合）__qupu123-375692
滚滚红尘	滚滚红尘（老人适用）	341668	同名✓	简谱(疑似可转写)	qupu123-mp068/滚滚红尘（老人适用）__qupu123-341668
滚滚红尘	滚滚红尘（适合手机）	359408	同名✓	简谱(疑似可转写)	qupu123-mp068/滚滚红尘（适合手机）__qupu123-359408
领悟	领悟（李宗盛词曲）	261725	同名✓	简谱(疑似可转写)	qupu123-mp069/领悟（李宗盛词曲）__qupu123-261725
如果云知道	如果云知道	1908	同名✓	简谱(疑似可转写)	qupu123-mp070/如果云知道__qupu123-1908
如果云知道	如果云知道	271362	同名✓	简谱(疑似可转写)	qupu123-mp070/如果云知道__qupu123-271362
如果云知道	如果云知道（小提琴谱）	206142	同名✓	改编/器乐	qupu123-mp070/如果云知道（小提琴谱）__qupu123-206142
如果云知道	如果云知道（简和谱）	339664	同名✓	改编/器乐	qupu123-mp070/如果云知道（简和谱）__qupu123-339664
月亮惹的祸	月亮惹的祸	378855	同名✓	简谱(疑似可转写)	qupu123-mp071/月亮惹的祸__qupu123-378855
月亮惹的祸	月亮惹的祸	785	同名✓	简谱(疑似可转写)	qupu123-mp071/月亮惹的祸__qupu123-785
月亮惹的祸	月亮惹的祸（十一郎词 张宇曲）	110207	同名✓	简谱(疑似可转写)	qupu123-mp071/月亮惹的祸（十一郎词 张宇曲）__qupu123-110207
月亮惹的祸	月亮惹的祸（电视剧《圆月弯刀》主题曲）	270190	同名✓	简谱(疑似可转写)	qupu123-mp071/月亮惹的祸（电视剧《圆月弯刀》主题曲）__qupu123-270190
雨一直下	雨一直下	378854	同名✓	简谱(疑似可转写)	qupu123-mp072/雨一直下__qupu123-378854
太傻	太傻太愚蠢	253791	不同歌✗	简谱(疑似可转写)	qupu123-mp073/太傻太愚蠢__qupu123-253791
太傻	太傻（编配乐谱）	296925	同名✓	改编/器乐	qupu123-mp073/太傻（编配乐谱）__qupu123-296925
太傻	我太傻	350317	疑似	简谱(疑似可转写)	qupu123-mp073/我太傻__qupu123-350317
太傻	都怪我太傻	360797	不同歌✗	简谱(疑似可转写)	qupu123-mp073/都怪我太傻__qupu123-360797
春泥	垦春泥（丁育政词 鲁新华曲）	278746	疑似	简谱(疑似可转写)	qupu123-mp074/垦春泥（丁育政词 鲁新华曲）__qupu123-278746
春泥	垦春泥（合唱）	247452	疑似	简谱(疑似可转写)	qupu123-mp074/垦春泥（合唱）__qupu123-247452
春泥	春泥	358908	同名✓	简谱(疑似可转写)	qupu123-mp074/春泥__qupu123-358908
突然的自我	突然的自我	380881	同名✓	简谱(疑似可转写)	qupu123-mp076/突然的自我__qupu123-380881
突然的自我	突然的自我（简和谱）	349372	同名✓	改编/器乐	qupu123-mp076/突然的自我（简和谱）__qupu123-349372
突然的自我	突然的自我（编配乐谱）	34777	同名✓	改编/器乐	qupu123-mp076/突然的自我（编配乐谱）__qupu123-34777
你是我的花朵	你是我的花朵	49744	同名✓	简谱(疑似可转写)	qupu123-mp077/你是我的花朵__qupu123-49744
2002年的第一场雪	2002年的第一场雪	1198	同名✓	简谱(疑似可转写)	qupu123-mp078/2002年的第一场雪__qupu123-1198
2002年的第一场雪	2002年的第一场雪	300587	同名✓	简谱(疑似可转写)	qupu123-mp078/2002年的第一场雪__qupu123-300587
2002年的第一场雪	2002年的第一场雪（刀郎词曲）	204406	同名✓	简谱(疑似可转写)	qupu123-mp078/2002年的第一场雪（刀郎词曲）__qupu123-204406
为爱痴狂	《为爱痴狂》吉他谱G调入门版 高音教编配 猴哥吉他教学	352063	不同歌✗	改编/器乐	qupu123-mp079/《为爱痴狂》吉他谱G调入门版 高音教编配 猴哥吉他教学__qupu123-352063
为爱痴狂	为爱痴狂（简谱）	242616	同名✓	简谱(疑似可转写)	qupu123-mp079/为爱痴狂（简谱）__qupu123-242616
为爱痴狂	刘若英 为爱痴狂 吉他谱（无限延音编配）	352509	同名✓	改编/器乐	qupu123-mp079/刘若英 为爱痴狂 吉他谱（无限延音编配）__qupu123-352509
画心	画心（电影《画皮》主题曲）	286776	不同歌✗	简谱(疑似可转写)	qupu123-mp080/画心（电影《画皮》主题曲）__qupu123-286776
画心	画心（电影《画皮》主题歌）	7976	不同歌✗	简谱(疑似可转写)	qupu123-mp080/画心（电影《画皮》主题歌）__qupu123-7976
画心	画心（钢琴弹唱谱）	32681	同名✓	改编/器乐	qupu123-mp080/画心（钢琴弹唱谱）__qupu123-32681
画心	画心（陈少琪词 藤原育郎曲）	270218	同名✓	简谱(疑似可转写)	qupu123-mp080/画心（陈少琪词 藤原育郎曲）__qupu123-270218
如果这就是爱情	如果这就是爱情	19462	同名✓	简谱(疑似可转写)	qupu123-mp081/如果这就是爱情__qupu123-19462
安和桥	安和桥	252660	同名✓	简谱(疑似可转写)	qupu123-mp082/安和桥__qupu123-252660
安和桥	安和桥（安和桥）	357660	同名✓	简谱(疑似可转写)	qupu123-mp082/安和桥（安和桥）__qupu123-357660
小情歌	小情歌	377948	同名✓	简谱(疑似可转写)	qupu123-mp083/小情歌__qupu123-377948
小情歌	小情歌	53498	同名✓	简谱(疑似可转写)	qupu123-mp083/小情歌__qupu123-53498
小情歌	小情歌（ukulele重制版）	355159	同名✓	简谱(疑似可转写)	qupu123-mp083/小情歌（ukulele重制版）__qupu123-355159
小情歌	小情歌（简和谱）	339770	同名✓	改编/器乐	qupu123-mp083/小情歌（简和谱）__qupu123-339770
无与伦比的美丽	无与伦比的美丽	32353	同名✓	简谱(疑似可转写)	qupu123-mp084/无与伦比的美丽__qupu123-32353
有点甜	有点甜	52345	同名✓	简谱(疑似可转写)	qupu123-mp085/有点甜__qupu123-52345
有点甜	有点甜（五线谱）	337060	同名✓	改编/器乐	qupu123-mp085/有点甜（五线谱）__qupu123-337060
有点甜	有点甜（弹唱谱）	357288	同名✓	改编/器乐	qupu123-mp085/有点甜（弹唱谱）__qupu123-357288
有点甜	有点甜（钢琴谱）	354404	同名✓	改编/器乐	qupu123-mp085/有点甜（钢琴谱）__qupu123-354404
老男孩	老男孩	288567	同名✓	简谱(疑似可转写)	qupu123-mp086/老男孩__qupu123-288567
老男孩	老男孩	91471	同名✓	简谱(疑似可转写)	qupu123-mp086/老男孩__qupu123-91471
老男孩	老男孩（吉他谱）	240670	同名✓	改编/器乐	qupu123-mp086/老男孩（吉他谱）__qupu123-240670
老男孩	老男孩（简和谱）	339628	同名✓	改编/器乐	qupu123-mp086/老男孩（简和谱）__qupu123-339628
时间都去哪儿了	时间都去哪儿了（合唱线谱）	323974	同名✓	简谱(疑似可转写)	qupu123-mp087/时间都去哪儿了（合唱线谱）__qupu123-323974
时间都去哪儿了	时间都去哪儿了（吉他六线谱）	97642	同名✓	改编/器乐	qupu123-mp087/时间都去哪儿了（吉他六线谱）__qupu123-97642
时间都去哪儿了	时间都去哪儿了（董冬冬词 陈曦曲）	63498	同名✓	简谱(疑似可转写)	qupu123-mp087/时间都去哪儿了（董冬冬词 陈曦曲）__qupu123-63498
时间都去哪儿了	时间都去哪儿了（陈曦词 董冬冬曲）	105801	同名✓	简谱(疑似可转写)	qupu123-mp087/时间都去哪儿了（陈曦词 董冬冬曲）__qupu123-105801
你快回来	你快回来	383116	同名✓	简谱(疑似可转写)	qupu123-mp088/你快回来__qupu123-383116
你快回来	叫声哥哥你快回来	53706	同名✓	简谱(疑似可转写)	qupu123-mp088/叫声哥哥你快回来__qupu123-53706
你快回来	妈妈，你快回来吧	222001	同名✓	简谱(疑似可转写)	qupu123-mp088/妈妈，你快回来吧__qupu123-222001
你快回来	民族声乐考级歌曲：叫一声哥哥你快回来	304161	不同歌✗	改编/器乐	qupu123-mp088/民族声乐考级歌曲：叫一声哥哥你快回来__qupu123-304161
不见不散	2022不见不散	257121	同名✓	简谱(疑似可转写)	qupu123-mp089/2022不见不散__qupu123-257121
不见不散	不见不散	365282	同名✓	简谱(疑似可转写)	qupu123-mp089/不见不散__qupu123-365282
不见不散	不见不散（同名电影主题曲）	1540	同名✓	简谱(疑似可转写)	qupu123-mp089/不见不散（同名电影主题曲）__qupu123-1540
不见不散	不见不散（吴铭词曲）	305332	同名✓	简谱(疑似可转写)	qupu123-mp089/不见不散（吴铭词曲）__qupu123-305332
懂你	懂你	373047	同名✓	简谱(疑似可转写)	qupu123-mp090/懂你__qupu123-373047
懂你	懂你（崔浩词 邹兴淮曲）	243065	同名✓	简谱(疑似可转写)	qupu123-mp090/懂你（崔浩词 邹兴淮曲）__qupu123-243065
懂你	懂你（笛子演奏提示版）	357935	同名✓	简谱(疑似可转写)	qupu123-mp090/懂你（笛子演奏提示版）__qupu123-357935
懂你	懂你（简和谱）	339699	同名✓	改编/器乐	qupu123-mp090/懂你（简和谱）__qupu123-339699
知心爱人	知心爱人	104191	同名✓	简谱(疑似可转写)	qupu123-mp091/知心爱人__qupu123-104191
知心爱人	知心爱人	302184	同名✓	简谱(疑似可转写)	qupu123-mp091/知心爱人__qupu123-302184
知心爱人	知心爱人（吉他六线谱）	254272	同名✓	改编/器乐	qupu123-mp091/知心爱人（吉他六线谱）__qupu123-254272
纤夫的爱	纤夫的爱	350318	同名✓	简谱(疑似可转写)	qupu123-mp092/纤夫的爱__qupu123-350318
纤夫的爱	纤夫的爱（乐队总谱）	361315	同名✓	改编/器乐	qupu123-mp092/纤夫的爱（乐队总谱）__qupu123-361315
纤夫的爱	纤夫的爱（梦之旅组合）	381558	同名✓	简谱(疑似可转写)	qupu123-mp092/纤夫的爱（梦之旅组合）__qupu123-381558
纤夫的爱	纤夫的爱（老人适用）	341623	同名✓	简谱(疑似可转写)	qupu123-mp092/纤夫的爱（老人适用）__qupu123-341623
常回家看看	常回家看看	1756	同名✓	简谱(疑似可转写)	qupu123-mp093/常回家看看__qupu123-1756
常回家看看	常回家看看	178034	同名✓	简谱(疑似可转写)	qupu123-mp093/常回家看看__qupu123-178034
常回家看看	常回家看看（合唱）	74092	同名✓	简谱(疑似可转写)	qupu123-mp093/常回家看看（合唱）__qupu123-74092
常回家看看	常回家看看（正谱）	104754	同名✓	改编/器乐	qupu123-mp093/常回家看看（正谱）__qupu123-104754
十五的月亮	十五的月亮	1718	同名✓	简谱(疑似可转写)	qupu123-mp094/十五的月亮__qupu123-1718
十五的月亮	十五的月亮	294545	同名✓	简谱(疑似可转写)	qupu123-mp094/十五的月亮__qupu123-294545
十五的月亮	十五的月亮	374538	同名✓	简谱(疑似可转写)	qupu123-mp094/十五的月亮__qupu123-374538
万里长城永不倒	未来的主人翁	6727	不同歌✗	简谱(疑似可转写)	qupu123-mp001/未来的主人翁__qupu123-6727
万里长城永不倒	被遗忘的时光	327110	不同歌✗	简谱(疑似可转写)	qupu123-mp001/被遗忘的时光__qupu123-327110
万里长城永不倒	被遗忘的时光（吉他六线谱）	29770	不同歌✗	改编/器乐	qupu123-mp001/被遗忘的时光（吉他六线谱）__qupu123-29770
前尘	我是一片云	371351	不同歌✗	简谱(疑似可转写)	qupu123-mp002/我是一片云__qupu123-371351
前尘	我是一片云	382309	不同歌✗	简谱(疑似可转写)	qupu123-mp002/我是一片云__qupu123-382309
前尘	请跟我来（电影《搭错车》插曲）	232321	不同歌✗	简谱(疑似可转写)	qupu123-mp002/请跟我来（电影《搭错车》插曲）__qupu123-232321
前尘	请跟我来（电影《搭错车》插曲）	250480	不同歌✗	简谱(疑似可转写)	qupu123-mp002/请跟我来（电影《搭错车》插曲）__qupu123-250480
姐姐	凡人歌（乐队总谱）	351991	不同歌✗	改编/器乐	qupu123-mp003/凡人歌（乐队总谱）__qupu123-351991
姐姐	凡人歌（李宗盛 词曲）	251451	不同歌✗	简谱(疑似可转写)	qupu123-mp003/凡人歌（李宗盛 词曲）__qupu123-251451
姐姐	凡人歌（电视剧《碧海情天》主题曲）	1482	不同歌✗	简谱(疑似可转写)	qupu123-mp003/凡人歌（电视剧《碧海情天》主题曲）__qupu123-1482
姐姐	鹿港小镇	223738	不同歌✗	简谱(疑似可转写)	qupu123-mp003/鹿港小镇__qupu123-223738
姐姐	鹿港小镇	267174	不同歌✗	简谱(疑似可转写)	qupu123-mp003/鹿港小镇__qupu123-267174
阿姐鼓	爱的代价	378938	不同歌✗	简谱(疑似可转写)	qupu123-mp004/爱的代价__qupu123-378938
阿姐鼓	爱的代价（ukulele四线谱）	211326	不同歌✗	简谱(疑似可转写)	qupu123-mp004/爱的代价（ukulele四线谱）__qupu123-211326
阿姐鼓	爱的代价（梦之旅组合）	376437	不同歌✗	简谱(疑似可转写)	qupu123-mp004/爱的代价（梦之旅组合）__qupu123-376437
阿姐鼓	爱的代价（简和谱）	350092	不同歌✗	改编/器乐	qupu123-mp004/爱的代价（简和谱）__qupu123-350092
明天你是否依然爱我	我是一只小小鸟	993	不同歌✗	简谱(疑似可转写)	qupu123-mp005/我是一只小小鸟__qupu123-993
明天你是否依然爱我	我是一只小小鸟（二重唱）	65489	不同歌✗	简谱(疑似可转写)	qupu123-mp005/我是一只小小鸟（二重唱）__qupu123-65489
明天你是否依然爱我	我是一只小小鸟（李宗盛词曲）	227242	不同歌✗	简谱(疑似可转写)	qupu123-mp005/我是一只小小鸟（李宗盛词曲）__qupu123-227242
明天你是否依然爱我	我是一只小小鸟（简和谱）	353670	不同歌✗	改编/器乐	qupu123-mp005/我是一只小小鸟（简和谱）__qupu123-353670
天籁……星河传说	我很丑可是我很温柔	1241	不同歌✗	简谱(疑似可转写)	qupu123-mp006/我很丑可是我很温柔__qupu123-1241
天籁……星河传说	我很丑可是我很温柔（带和弦）	54033	不同歌✗	改编/器乐	qupu123-mp006/我很丑可是我很温柔（带和弦）__qupu123-54033
每段路	《爱要怎么说出口》吉他谱C调入门版 林俊杰 高音教编配	341893	不同歌✗	改编/器乐	qupu123-mp007/《爱要怎么说出口》吉他谱C调入门版 林俊杰 高音教编配__qupu123-341893
每段路	爱要怎么说出口	1000	不同歌✗	简谱(疑似可转写)	qupu123-mp007/爱要怎么说出口__qupu123-1000
