类别	文件A	曲名A	标签A	文件B	曲名B	标签B	公共音数	覆盖率(较短)	长度A	长度B	建议
同名多版本	大山人.txt	大山人	分类/民歌|分类/民歌	大山人__qupu123-394618.txt	大山人		263	1.00	263	263	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	苕乡情&nbsp;&nbsp;.txt	苕乡情		苕乡情.txt	苕乡情	朱朝永 陈春阳|朱朝永 陈春阳	260	1.00	260	260	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	不能和你一起.txt	不能和你一起		不能和你一起2.txt	不能和你一起2		255	1.00	255	255	预期内(榜单的多版本留一就是这种); 不用动
标题-残名	听妈妈讲那过去的事情.txt	听妈妈讲那过去的事情	分类/儿歌|分类/儿歌	讲.txt	讲	分类/儿歌|儿歌|分类/儿歌|儿歌	252	1.00	252	252	残名/截断, 对侧更完整: 听妈妈讲那过去的事情
重复-异名	再铸时代脊梁.txt	再铸时代脊梁	阎维文|阎维文	再铸时代铁脊梁.txt	再铸时代铁脊梁	阎维文|阎维文	244	1.00	244	244	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
同名多版本	你好_陌生人.txt	你好 陌生人	毛不易|毛不易	你好，陌生人.txt	你好，陌生人	毛不易|毛不易	234	1.00	234	235	预期内(榜单的多版本留一就是这种); 不用动
标题-未命名	未命名-jianpujia-418203.txt	未命名-jianpujia-418203	分类/草原|分类/草原	草原湖，草原雨独唱歌曲.txt	草原湖，草原雨独唱歌曲	分类/草原|金磊鑫|草原|分类/草原|金磊鑫|草原	233	1.00	233	235	按对侧曲名起名(疑似同一首的两个转写): 草原湖，草原雨独唱歌曲
重复-异名	天下凤凰美.txt	天下凤凰美	宋祖英|宋祖英	天下美凤凰.txt	天下美凤凰	宋祖英|宋祖英	224	1.00	224	224	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
同名多版本	草原上的小河.txt	草原上的小河	分类/草原|丁喜|草原|分类/草原|丁喜|草原	草原上的小河_2.txt	草原上的小河	分类/草原|草原丁喜|草原|分类/草原|草原丁喜|草原	222	1.00	222	222	预期内(榜单的多版本留一就是这种); 不用动
标题-未命名	未命名-jianpujia-349477.txt	未命名-jianpujia-349477	分类/草原|分类/草原	草原无名河草原歌曲100首.txt	草原无名河草原歌曲100首	分类/草原|德德玛|草原|分类/草原|德德玛|草原	219	1.00	219	222	按对侧曲名起名(疑似同一首的两个转写): 草原无名河草原歌曲100首
同名多版本	诗画中国_2.txt	诗画中国	许嵩|许嵩/谭维维|许嵩|许嵩/谭维维	诗画中国_3.txt	诗画中国	许嵩|许嵩	216	1.00	216	216	预期内(榜单的多版本留一就是这种); 不用动
标题-未命名	夏夜的红玫瑰_2.txt	夏夜的红玫瑰	分类/草原|分类/草原	未命名-jianpujia-316848.txt	未命名-jianpujia-316848	分类/草原|草原江枫渔火|草原|分类/草原|草原江枫渔火|草原	214	1.00	217	214	按对侧曲名起名(疑似同一首的两个转写): 夏夜的红玫瑰
同名多版本	爱是一个圆.txt	爱是一个圆	费玉清|费玉清	爱是一个圆词.txt	爱是一个圆词	费玉清|费玉清	210	1.00	210	210	预期内(榜单的多版本留一就是这种); 不用动
标题-未命名	未命名-jianpujia-301762.txt	未命名-jianpujia-301762	分类/萨克斯谱|分类/草原|分类/萨克斯谱|分类/草原	草原的承诺草原丁喜.txt	草原的承诺草原丁喜	分类/萨克斯谱|分类/草原|草原美娥|草原|分类/萨克斯谱|分类/草原|草原美娥|草原	208	1.00	208	211	按对侧曲名起名(疑似同一首的两个转写): 草原的承诺草原丁喜
同名多版本	援藏大哥.txt	援藏大哥	降央卓玛|降央卓玛	援藏大哥_记谱.txt	援藏大哥 记谱	降央卓玛|降央卓玛	207	1.00	207	207	预期内(榜单的多版本留一就是这种); 不用动
重复-异名	万事如意.txt	万事如意	张也|张也	万事如意央视春晚歌曲.txt	万事如意央视春晚歌曲	张也|张也	206	1.00	215	206	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
标题-残名	家.txt	家	分类/草原|分类/草原	家在草原根在草原手稿版.txt	家在草原根在草原手稿版	分类/草原|东方红艳|草原|分类/草原|东方红艳|草原	206	1.00	206	206	残名/截断, 对侧更完整: 家在草原根在草原手稿版
重复-异名	夏天的风.txt	夏天的风	周杰伦|周杰伦	夏天的风天天词周杰伦曲.txt	夏天的风天天词周杰伦曲	周杰伦|温岚|周杰伦|温岚	206	1.00	206	206	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
标题-未命名	哲古草原知音草原风情系列之二.txt	哲古草原知音草原风情系列之二	分类/草原|分类/草原	未命名-jianpujia-236274.txt	未命名-jianpujia-236274	分类/草原|草原|分类/草原|草原	204	1.00	206	204	按对侧曲名起名(疑似同一首的两个转写): 哲古草原知音草原风情系列之二
重复-异名	梁溪，我心中美丽的晨曦.txt	梁溪，我心中美丽的晨曦	分类/民歌|分类/民歌	黄杨扁担新唱.txt	黄杨扁担新唱	分类/民歌|分类/民歌	201	1.00	201	201	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
标题-残名	画_3.txt	画	邓紫棋|邓紫棋	画（邓紫棋.txt	画（邓紫棋	邓紫棋|邓紫棋	201	1.00	201	203	残名/截断, 对侧更完整: 画（邓紫棋
同名多版本	我是好宝宝.txt	我是好宝宝	分类/儿歌|分类/儿歌	我是好宝宝_2.txt	我是好宝宝	分类/儿歌|儿歌|分类/儿歌|儿歌	195	1.00	195	196	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	平凡人生.txt	平凡人生	阎维文|阎维文	平凡人生《好人谢延信》片尾曲.txt	平凡人生《好人谢延信》片尾曲	阎维文|分类/影视|阎维文|分类/影视	193	1.00	193	194	预期内(榜单的多版本留一就是这种); 不用动
标题-未命名	未命名-jianpujia-237000.txt	未命名-jianpujia-237000	分类/草原|分类/草原	美玉草原知音草原风情系列之十.txt	美玉草原知音草原风情系列之十	分类/草原|草原|分类/草原|草原	188	1.00	188	190	按对侧曲名起名(疑似同一首的两个转写): 美玉草原知音草原风情系列之十
同名多版本	世上只有妈妈好.txt	世上只有妈妈好	分类/儿歌|分类/儿歌	世上只有妈妈好_2.txt	世上只有妈妈好	分类/儿歌|儿歌|分类/儿歌|儿歌	186	1.00	186	188	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	好久不见.txt	好久不见		好久不见_3.txt	好久不见	陈奕迅|陈奕迅	182	1.00	182	182	预期内(榜单的多版本留一就是这种); 不用动
重复-异名	上林_十分红.txt	上林 十分红	杨洪基|杨洪基	上林春色十分红.txt	上林春色十分红	杨洪基|杨洪基	177	1.00	177	177	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
重复-异名	啊，草原.txt	啊，草原	分类/草原|分类/草原	啊，草原李良词李炫春曲.txt	啊，草原李良词李炫春曲	分类/草原|枫桥|草原|分类/草原|枫桥|草原	174	1.00	174	174	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
标签-可借	对__徽______100__谱-_谱.txt	对__徽______100__谱-_谱		对花安徽民歌经典民歌100首.txt	对花安徽民歌经典民歌100首	分类/民歌|民歌|分类/民歌|民歌	173	1.00	173	174	同一首的另一个转写已有标签, 可借: 分类/民歌/民歌/分类/民歌
同名多版本	我们是快乐的好朋友.txt	我们是快乐的好朋友	分类/儿歌|分类/儿歌	我们是快乐的好朋友_2.txt	我们是快乐的好朋友	分类/儿歌|儿歌|分类/儿歌|儿歌	171	1.00	171	172	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	燕子归来草原丁喜.txt	燕子归来草原丁喜	分类/萨克斯谱|分类/草原|草原丁喜|草原|分类/萨克斯谱|分类/草原|草原丁喜|草原	燕子归来草原丁喜萨斯.txt	燕子归来草原丁喜萨斯	分类/草原|草原大哈|草原|分类/草原|草原大哈|草原	170	1.00	170	173	预期内(榜单的多版本留一就是这种); 不用动
标题-未命名	未命名-jianpujia-317610.txt	未命名-jianpujia-317610	分类/萨克斯谱|分类/草原|分类/萨克斯谱|分类/草原	燕子归来草原丁喜.txt	燕子归来草原丁喜	分类/萨克斯谱|分类/草原|草原丁喜|草原|分类/萨克斯谱|分类/草原|草原丁喜|草原	169	1.00	169	170	按对侧曲名起名(疑似同一首的两个转写): 燕子归来草原丁喜
标题-未命名	未命名-jianpujia-317610.txt	未命名-jianpujia-317610	分类/萨克斯谱|分类/草原|分类/萨克斯谱|分类/草原	燕子归来草原丁喜萨斯.txt	燕子归来草原丁喜萨斯	分类/草原|草原大哈|草原|分类/草原|草原大哈|草原	169	1.00	169	173	按对侧曲名起名(疑似同一首的两个转写): 燕子归来草原丁喜萨斯
同名多版本	寒鸦少年.txt	寒鸦少年	分类/通俗歌曲|分类/通俗歌曲	寒鸦少年《斗破苍穹》主题曲.txt	寒鸦少年《斗破苍穹》主题曲	华晨宇|分类/影视|华晨宇|分类/影视	167	1.00	170	167	预期内(榜单的多版本留一就是这种); 不用动
重复-异名	边疆的泉水清又纯F调伴奏.txt	边疆的泉水清又纯F调伴奏	李谷一|李谷一	边疆的泉水清又纯_—.txt	边疆的泉水清又纯 —	李谷一|李谷一	161	1.00	162	161	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
同名多版本	草原父亲母亲河李宝鸿词朝乐蒙曲草原父亲母亲河李宝鸿词.txt	草原父亲母亲河李宝鸿词朝乐蒙曲草原父亲母亲河李宝鸿词	分类/草原|分类/草原	草原父亲母亲河李宝鸿词朝乐蒙曲草原父亲母亲河李宝鸿词_2.txt	草原父亲母亲河李宝鸿词朝乐蒙曲草原父亲母亲河李宝鸿词	分类/草原|草原|分类/草原|草原	160	1.00	160	160	预期内(榜单的多版本留一就是这种); 不用动
重复-异名	我爱你沈阳.txt	我爱你沈阳	苏小明|苏小明	沈阳我爱你.txt	沈阳我爱你	苏小明|苏小明	157	1.00	157	159	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
重复-异名	虚拟的女孩__qupu123-66892.txt	虚拟的女孩		虚拟的男孩__qupu123-66891.txt	虚拟的男孩		156	1.00	156	156	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
重复-异名	红高粱.txt	红高粱	韩红|韩红	红高粱片尾主题曲-红高粱.txt	红高粱片尾主题曲-红高粱	韩红|分类/影视|韩红|分类/影视	155	1.00	155	155	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
同名多版本	草原名字.txt	草原名字	分类/草原|分类/草原	草原名字_2.txt	草原名字	分类/草原|刘建明|草原|分类/草原|刘建明|草原	153	1.00	153	155	预期内(榜单的多版本留一就是这种); 不用动
重复-异名	雪花飘.txt	雪花飘	分类/通俗歌曲|分类/通俗歌曲	雪花飞.txt	雪花飞	分类/通俗歌曲|分类/通俗歌曲	151	1.00	151	151	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
同名多版本	我们要做雷锋式的好少年.txt	我们要做雷锋式的好少年	分类/儿歌|分类/儿歌	我们要做雷锋式的好少年_2.txt	我们要做雷锋式的好少年	分类/儿歌|儿歌|分类/儿歌|儿歌	150	1.00	150	152	预期内(榜单的多版本留一就是这种); 不用动
标题-未命名	未命名-jianpujia-394083.txt	未命名-jianpujia-394083	分类/草原|分类/草原	草原海陈世慧词张艺军曲.txt	草原海陈世慧词张艺军曲	分类/草原|草原|分类/草原|草原	145	1.00	145	148	按对侧曲名起名(疑似同一首的两个转写): 草原海陈世慧词张艺军曲
同名多版本	《江南雨》.txt	《江南雨》	阎维文|阎维文	江南雨.txt	江南雨	阎维文|阎维文	140	1.00	140	140	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	完美生活.txt	完美生活	许巍|许巍	完美生活_2.txt	完美生活	许巍|许巍	137	1.00	139	137	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	山南山北走一回.txt	山南山北走一回	邓丽君|邓丽君	山南山北走一回_2.txt	山南山北走一回	邓丽君|邓丽君	137	1.00	137	138	预期内(榜单的多版本留一就是这种); 不用动
重复-异名	爱我中华1.txt	爱我中华1	宋祖英|宋祖英	爱我中华2.txt	爱我中华2	宋祖英|宋祖英	135	1.00	135	135	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
重复-异名	难忘今宵_G调版伴奏.txt	难忘今宵 G调版伴奏	李谷一|李谷一	难忘今宵（十大.txt	难忘今宵（十大	李谷一|李谷一	133	1.00	167	133	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
同名多版本	虫儿飞.txt	虫儿飞	分类/谱友上传|分类/谱友上传	虫儿飞_2.txt	虫儿飞	分类/儿歌|分类/儿歌	133	1.00	133	133	预期内(榜单的多版本留一就是这种); 不用动
标题-残名	虫儿飞.txt	虫儿飞	分类/谱友上传|分类/谱友上传	谱_2.txt	谱	分类/儿歌|儿歌|分类/儿歌|儿歌	133	1.00	133	133	残名/截断, 对侧更完整: 虫儿飞
标题-残名	虫儿飞_2.txt	虫儿飞	分类/儿歌|分类/儿歌	谱_2.txt	谱	分类/儿歌|儿歌|分类/儿歌|儿歌	133	1.00	133	133	残名/截断, 对侧更完整: 虫儿飞
标题-残名	亲.txt	亲	分类/草原|分类/草原	母亲草原刘志毅词夏宝森曲.txt	母亲草原刘志毅词夏宝森曲	分类/草原|草原|分类/草原|草原	132	1.00	132	132	残名/截断, 对侧更完整: 母亲草原刘志毅词夏宝森曲
重复-异名	请你喝杯下马酒.txt	请你喝杯下马酒	降央卓玛|降央卓玛	请喝一杯下马酒.txt	请喝一杯下马酒	降央卓玛|降央卓玛	132	1.00	132	132	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
重复-异名	旗帜高扬领航程.txt	旗帜高扬领航程	宋祖英|宋祖英	美丽新航程.txt	美丽新航程	宋祖英|宋祖英	131	1.00	131	131	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
重复-异名	心上人_——电视剧《关东大先生》片尾曲.txt	心上人 ——电视剧《关东大先生》片尾曲	宋祖英|分类/影视|宋祖英|分类/影视	心上人电视剧《关东大先生》片尾曲.txt	心上人电视剧《关东大先生》片尾曲	宋祖英|分类/影视|宋祖英|分类/影视	127	1.00	144	127	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
重复-异名	恋曲2000_歌曲类.txt	恋曲2000 歌曲类		恋曲_歌曲类.txt	恋曲 歌曲类		125	1.00	125	125	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
标题-未命名	月牙五更.txt	月牙五更	阎维文|阎维文	未命名-jianpujia-314355.txt	未命名-jianpujia-314355	徐志列|民歌|徐志列|民歌	121	1.00	164	121	按对侧曲名起名(疑似同一首的两个转写): 月牙五更
标题-未命名	月牙五更东北民歌.txt	月牙五更东北民歌	阎维文|分类/民歌|阎维文|分类/民歌	未命名-jianpujia-314355.txt	未命名-jianpujia-314355	徐志列|民歌|徐志列|民歌	121	1.00	164	121	按对侧曲名起名(疑似同一首的两个转写): 月牙五更东北民歌
标题-未命名	月牙五更经典民歌100首.txt	月牙五更经典民歌100首	分类/民歌|分类/民歌	未命名-jianpujia-314355.txt	未命名-jianpujia-314355	徐志列|民歌|徐志列|民歌	121	1.00	122	121	按对侧曲名起名(疑似同一首的两个转写): 月牙五更经典民歌100首
同名多版本	小白船.txt	小白船	分类/儿歌|儿歌|分类/儿歌|儿歌	小白船_2.txt	小白船	分类/儿歌|儿歌|分类/儿歌|儿歌	120	1.00	120	120	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	每当我走过老师窗前.txt	每当我走过老师窗前	分类/儿歌|儿歌|分类/儿歌|儿歌	每当我走过老师窗前_2.txt	每当我走过老师窗前	分类/儿歌|儿歌|分类/儿歌|儿歌	115	1.00	115	116	预期内(榜单的多版本留一就是这种); 不用动
重复-异名	兔妈妈和兔孩子.txt	兔妈妈和兔孩子	分类/儿歌|分类/儿歌	采访兔妈妈.txt	采访兔妈妈	分类/儿歌|分类/儿歌	114	1.00	114	114	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
同名多版本	《镜月凝思》.txt	《镜月凝思》	宋祖英|宋祖英	镜月凝思.txt	镜月凝思	宋祖英|宋祖英	106	1.00	106	106	预期内(榜单的多版本留一就是这种); 不用动
标题-残名	丽_3.txt	丽	分类/草原|分类/草原	美丽的草原谢淑清词雷晓峰曲.txt	美丽的草原谢淑清词雷晓峰曲	分类/草原|草原|分类/草原|草原	106	1.00	106	106	残名/截断, 对侧更完整: 美丽的草原谢淑清词雷晓峰曲
同名多版本	草原啊草原.txt	草原啊草原	分类/草原|草原|分类/草原|草原	草原啊草原_3.txt	草原啊草原	分类/草原|分类/草原	100	1.00	100	100	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	蜗牛与黄鹂鸟.txt	蜗牛与黄鹂鸟	分类/儿歌|分类/儿歌	蜗牛与黄鹂鸟_2.txt	蜗牛与黄鹂鸟	分类/儿歌|儿歌|分类/儿歌|儿歌	90	1.00	90	90	预期内(榜单的多版本留一就是这种); 不用动
标签-可借	对_河.txt	对_河		对花河北民歌经典民歌100首.txt	对花河北民歌经典民歌100首	分类/民歌|民歌|分类/民歌|民歌	88	1.00	88	88	同一首的另一个转写已有标签, 可借: 分类/民歌/民歌/分类/民歌
同名多版本	《沙湖情歌》.txt	《沙湖情歌》	张也|张也	沙湖情歌.txt	沙湖情歌	张也|张也	83	1.00	83	83	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	国旗国旗真美丽.txt	国旗国旗真美丽	分类/儿歌|儿歌|分类/儿歌|儿歌	国旗国旗真美丽_2.txt	国旗国旗真美丽	分类/儿歌|分类/儿歌	78	1.00	78	78	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	藏族民歌舞曲选：阿里民歌.txt	藏族民歌舞曲选：阿里民歌	分类/民歌|分类/民歌	藏族民歌舞曲选：阿里民歌_2.txt	藏族民歌舞曲选：阿里民歌	分类/民歌|民歌|分类/民歌|民歌	63	1.00	63	63	预期内(榜单的多版本留一就是这种); 不用动
重复-异名	儿歌联唱1.txt	儿歌联唱1	分类/儿歌|分类/儿歌	共产儿童团歌.txt	共产儿童团歌	分类/儿歌|分类/儿歌	40	1.00	211	40	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
同名多版本	生日快乐_2.txt	生日快乐	分类/儿歌|儿歌|分类/儿歌|儿歌	祝你生日快乐.txt	祝你生日快乐	分类/儿歌|儿歌|分类/儿歌|儿歌	25	1.00	25	55	预期内(榜单的多版本留一就是这种); 不用动
标题-残名	两.txt	两	分类/儿歌|儿歌|分类/儿歌|儿歌	两只老虎.txt	两只老虎	分类/儿歌|儿歌|分类/儿歌|儿歌	260	1.00	261	264	残名/截断, 对侧更完整: 两只老虎
标签-可借	小燕子_2.txt	小燕子		未命名-jianpujia-15773.txt	未命名-jianpujia-15773	儿歌|儿歌	268	0.99	270	270	同一首的另一个转写已有标签, 可借: 儿歌/儿歌
重复-异名	月牙五更.txt	月牙五更	阎维文|阎维文	月牙五更经典民歌100首.txt	月牙五更经典民歌100首	分类/民歌|分类/民歌	121	0.99	164	122	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
重复-异名	月牙五更东北民歌.txt	月牙五更东北民歌	阎维文|分类/民歌|阎维文|分类/民歌	月牙五更经典民歌100首.txt	月牙五更经典民歌100首	分类/民歌|分类/民歌	121	0.99	164	122	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
同名多版本	第三极.txt	第三极	许巍|许巍	第三极_2.txt	第三极	许巍|许巍	217	0.99	219	236	预期内(榜单的多版本留一就是这种); 不用动
重复-异名	嘀哩嘀哩.txt	嘀哩嘀哩	分类/儿歌|儿歌|分类/儿歌|儿歌	春天在哪里.txt	春天在哪里	分类/儿歌|儿歌|分类/儿歌|儿歌	98	0.99	122	99	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
同名多版本	菊花台.txt	菊花台	分类/谱友上传|分类/谱友上传	菊花台_2.txt	菊花台		178	0.99	180	180	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	草原的歌唱给草原听.txt	草原的歌唱给草原听	分类/草原|分类/草原	草原的歌唱给草原听_2.txt	草原的歌唱给草原听	分类/草原|草原|分类/草原|草原	244	0.98	248	250	预期内(榜单的多版本留一就是这种); 不用动
重复-异名	江南春.txt	江南春	张也|张也	江南柳.txt	江南柳	张也|张也	176	0.98	182	179	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
同名多版本	月牙五更.txt	月牙五更	阎维文|阎维文	月牙五更东北民歌.txt	月牙五更东北民歌	阎维文|分类/民歌|阎维文|分类/民歌	157	0.96	164	164	预期内(榜单的多版本留一就是这种); 不用动
重复-异名	强军战歌1.txt	强军战歌1	阎维文|分类/进行曲|阎维文|分类/进行曲	强军战歌2.txt	强军战歌2	阎维文|分类/进行曲|阎维文|分类/进行曲	132	0.96	138	184	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
同名多版本	草原啊草原我来过.txt	草原啊草原我来过	分类/草原|思雨|草原|分类/草原|思雨|草原	草原啊草原我来过_2.txt	草原啊草原我来过	分类/草原|分类/草原	132	0.94	142	141	预期内(榜单的多版本留一就是这种); 不用动
重复-异名	相爱好往昔.txt	相爱好往昔	邓丽君|邓丽君	相爱如往昔_—.txt	相爱如往昔 —	邓丽君|邓丽君	132	0.94	141	141	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
同名多版本	孝顺父母.txt	孝顺父母	阎维文|阎维文	孝顺父母，不能等待.txt	孝顺父母，不能等待	阎维文|阎维文	93	0.91	162	102	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	我从草原来C调伴奏.txt	我从草原来C调伴奏	凤凰传奇|凤凰传奇	我从草原来——凤凰传奇.txt	我从草原来——凤凰传奇	凤凰传奇|凤凰传奇	164	0.90	183	184	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	情话.txt	情话	邓丽君|邓丽君	邓丽君_59.txt	情话	邓丽君|邓丽君	51	0.89	166	57	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	我知道你也很难过.txt	我知道你也很难过	蔡依林|蔡依林	我知道你很难过.txt	我知道你很难过	蔡依林|蔡依林	185	0.89	209	211	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	阿瓦尔古丽历史经典.txt	阿瓦尔古丽历史经典	阎维文|阎维文	阿瓦日古丽.txt	阿瓦日古丽	阎维文|阎维文	97	0.87	111	122	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	牡丹之歌怀旧经典.txt	牡丹之歌怀旧经典	蒋大为|蒋大为	牡丹之歌（十大.txt	牡丹之歌（十大	蒋大为|蒋大为	155	0.86	182	180	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	悬崖之上-C调.txt	悬崖之上-C调	周深|周深	悬崖之上.txt	悬崖之上	周深|周深	351	0.86	410	410	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	好妈妈.txt	好妈妈	分类/儿歌|儿歌|分类/儿歌|儿歌	我的好妈妈.txt	我的好妈妈	分类/儿歌|儿歌|分类/儿歌|儿歌	57	0.83	168	69	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	小城故事_2.txt	小城故事	邓丽君|怀旧经典 邓丽君|邓丽君|怀旧经典 邓丽君	小城故事_3.txt	小城故事	邓丽君|邓丽君	126	0.82	163	154	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	美酒加咖啡.txt	美酒加咖啡	邓丽君|邓丽君	美酒加咖啡怀旧经典.txt	美酒加咖啡怀旧经典	邓丽君|邓丽君	97	0.82	120	119	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	军港之夜.txt	军港之夜	分类/谱友上传|分类/谱友上传	军港之夜_2.txt	军港之夜	苏小明|怀旧经典 苏小明|苏小明|怀旧经典 苏小明	122	0.81	151	216	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	给未来的自己.txt	给未来的自己		给未来的自己——梁静茹.txt	给未来的自己——梁静茹		197	0.79	248	257	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	小小.txt	小小	周杰伦|周杰伦	小小周杰伦词方文山曲.txt	小小周杰伦词方文山曲	周杰伦|周杰伦	86	0.79	110	109	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	浴火成诗.txt	浴火成诗	分类/通俗歌曲|分类/通俗歌曲	浴火成诗_2.txt	浴火成诗	毛不易|迪丽热巴/毛不易|毛不易|迪丽热巴/毛不易	161	0.79	303	205	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	生命恋歌.txt	生命恋歌	宋祖英|宋祖英	生命的恋歌.txt	生命的恋歌	宋祖英|宋祖英	102	0.78	137	130	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	未命名-jianpujia-211190.txt	未命名-jianpujia-211190	分类/草原|分类/草原	草原的味道李秀军词张艺军曲.txt	草原的味道李秀军词张艺军曲	分类/草原|草原|分类/草原|草原	67	0.78	86	87	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
