file	current_title	proposed_title	kind	accepted
哄我入睡（五月天、阿信.txt	哄我入睡（五月天、阿信	哄我入睡	未闭合开括号	0
唱涞山（表.txt	唱涞山（表	唱涞山	未闭合开括号	1
喜帖街（吉他.txt	喜帖街（吉他	喜帖街	未闭合开括号	1
喜欢你（.txt	喜欢你（	喜欢你	未闭合开括号	1
喜结良缘（陈光军_王春雷.txt	喜结良缘（陈光军_王春雷	喜结良缘	未闭合开括号	1
回不去的昨天（.txt	回不去的昨天（	回不去的昨天	未闭合开括号	1
土楼的春天（金少蒙.txt	土楼的春天（金少蒙	土楼的春天	未闭合开括号	1
在这里（.txt	在这里（	在这里	未闭合开括号	1
坏女孩（徐良.txt	坏女孩（徐良	坏女孩	未闭合开括号	1
壮美延安（原版正版合唱.txt	壮美延安（原版正版合唱	壮美延安	未闭合开括号	1
夕阳红（二部合唱、学步桥.txt	夕阳红（二部合唱、学步桥	夕阳红	未闭合开括号	0
多情草原（.txt	多情草原（	多情草原	未闭合开括号	1
大白鹅（班南.txt	大白鹅（班南	大白鹅	未闭合开括号	1
大美中国（宫婷、姚立森.txt	大美中国（宫婷、姚立森	大美中国	未闭合开括号	0
天河（左保斌.txt	天河（左保斌	天河	未闭合开括号	1
天空（韩红.txt	天空（韩红	天空	未闭合开括号	1
夸咱农村大变化（表.txt	夸咱农村大变化（表	夸咱农村大变化	未闭合开括号	1
奇迹（.txt	奇迹（	奇迹	未闭合开括号	1
奇迹（邓紫棋.txt	奇迹（邓紫棋	奇迹	未闭合开括号	1
好好（尤克里里.txt	好好（尤克里里	好好	未闭合开括号	1
如果有一天（刘德华.txt	如果有一天（刘德华	如果有一天	未闭合开括号	1
孤勇者（.txt	孤勇者（	孤勇者	未闭合开括号	1
守望草原）.txt	守望草原）	守望草原	多余闭括号	1
安河桥（拇指琴卡林巴琴和弦.txt	安河桥（拇指琴卡林巴琴和弦	安河桥	未闭合开括号	1
家乡（韩红.txt	家乡（韩红	家乡	未闭合开括号	1
寂寞无声（.txt	寂寞无声（	寂寞无声	未闭合开括号	1
小小野菊花（左保斌.txt	小小野菊花（左保斌	小小野菊花	未闭合开括号	1
小猫抓老鼠（罗晓航.txt	小猫抓老鼠（罗晓航	小猫抓老鼠	未闭合开括号	1
小老鼠上灯台（罗晓航.txt	小老鼠上灯台（罗晓航	小老鼠上灯台	未闭合开括号	1
小花（王玉庆.txt	小花（王玉庆	小花	未闭合开括号	1
少女的祈祷（拇指琴卡林巴琴和弦.txt	少女的祈祷（拇指琴卡林巴琴和弦	少女的祈祷	未闭合开括号	1
山歌好比春江水（李健改编.txt	山歌好比春江水（李健改编	山歌好比春江水	未闭合开括号	1
幸福的记忆（.txt	幸福的记忆（	幸福的记忆	未闭合开括号	1
开火车（罗晓航.txt	开火车（罗晓航	开火车	未闭合开括号	1
强军路上（林昌.txt	强军路上（林昌	强军路上	未闭合开括号	1
归来（韩红.txt	归来（韩红	归来	未闭合开括号	1
当我想你的时候（汪峰.txt	当我想你的时候（汪峰	当我想你的时候	未闭合开括号	1
往日情怀（.txt	往日情怀（	往日情怀	未闭合开括号	1
心上人（电视剧《关东大先生》片尾曲.txt	心上人（电视剧《关东大先生》片尾曲	心上人	未闭合开括号	0
心缘（.txt	心缘（	心缘	未闭合开括号	1
快乐宝贝（班南.txt	快乐宝贝（班南	快乐宝贝	未闭合开括号	1
情深往事(费玉清深情.txt	情深往事(费玉清深情	情深往事	未闭合开括号	1
情深迷离（.txt	情深迷离（	情深迷离	未闭合开括号	1
想你（Beyond.txt	想你（Beyond	想你	未闭合开括号	1
意外（尤克里里.txt	意外（尤克里里	意外	未闭合开括号	1
感恩有你（潘九岭、李铭雪.txt	感恩有你（潘九岭、李铭雪	感恩有你	未闭合开括号	0
感恩的心（巴秀拉.txt	感恩的心（巴秀拉	感恩的心	未闭合开括号	1
慢慢喜欢你（拇指琴卡林巴琴和弦.txt	慢慢喜欢你（拇指琴卡林巴琴和弦	慢慢喜欢你	未闭合开括号	1
慢慢（卡林巴拇指琴.txt	慢慢（卡林巴拇指琴	慢慢	未闭合开括号	1
懂得（李健.txt	懂得（李健	懂得	未闭合开括号	1
成全（拇指琴卡林巴琴和弦.txt	成全（拇指琴卡林巴琴和弦	成全	未闭合开括号	1
我们永远在一起（石矿.txt	我们永远在一起（石矿	我们永远在一起	未闭合开括号	1
我心永恒（.txt	我心永恒（	我心永恒	未闭合开括号	1
我怕你不肯（.txt	我怕你不肯（	我怕你不肯	未闭合开括号	1
我想和你去一个地方（稳_稳.txt	我想和你去一个地方（稳_稳	我想和你去一个地方	未闭合开括号	1
我愿意（严艺丹.txt	我愿意（严艺丹	我愿意	未闭合开括号	1
我的小黑马（关庄.txt	我的小黑马（关庄	我的小黑马	未闭合开括号	1
手拉手（罗晓航.txt	手拉手（罗晓航	手拉手	未闭合开括号	1
打工者之歌（王玉庆.txt	打工者之歌（王玉庆	打工者之歌	未闭合开括号	1
打樱桃1（张新政.txt	打樱桃1（张新政	打樱桃1	未闭合开括号	1
打樱桃2（张新政.txt	打樱桃2（张新政	打樱桃2	未闭合开括号	1
打樱桃3（张新政.txt	打樱桃3（张新政	打樱桃3	未闭合开括号	1
打电话（罗晓航.txt	打电话（罗晓航	打电话	未闭合开括号	1
挂牵（王宏伟.txt	挂牵（王宏伟	挂牵	未闭合开括号	1
故乡是北京（京歌伴奏谱、老熊.txt	故乡是北京（京歌伴奏谱、老熊	故乡是北京	未闭合开括号	0
无心快语（.txt	无心快语（	无心快语	未闭合开括号	1
无论天边_无论眼前（.txt	无论天边 无论眼前（	无论天边 无论眼前	未闭合开括号	1
明知故犯（.txt	明知故犯（	明知故犯	未闭合开括号	1
春天在车厢里(.txt	春天在车厢里(	春天在车厢里	未闭合开括号	1
春天来了（班南.txt	春天来了（班南	春天来了	未闭合开括号	1
春天里（汪峰.txt	春天里（汪峰	春天里	未闭合开括号	1
春江花月夜_-_声乐随想曲（.txt	春江花月夜 - 声乐随想曲（	春江花月夜 - 声乐随想曲	未闭合开括号	1
春风十里不如你尤克里里谱（_G调尤克里里.txt	春风十里不如你尤克里里谱（ G调尤克里里	春风十里不如你尤克里里谱	未闭合开括号	1
晚熟的人（.txt	晚熟的人（	晚熟的人	未闭合开括号	1
晚风（.txt	晚风（	晚风	未闭合开括号	1
晴天（周杰伦.txt	晴天（周杰伦	晴天	未闭合开括号	1
最美的春天(.txt	最美的春天(	最美的春天	未闭合开括号	1
望月】彩谱】.txt	望月】彩谱】	望月彩谱】	多余闭括号	1
望江亭放歌（.txt	望江亭放歌（	望江亭放歌	未闭合开括号	1
木梳缘（.txt	木梳缘（	木梳缘	未闭合开括号	1
李白（李荣浩.txt	李白（李荣浩	李白	未闭合开括号	1
来世未必相逢（.txt	来世未必相逢（	来世未必相逢	未闭合开括号	1
桂林美（贾珂.txt	桂林美（贾珂	桂林美	未闭合开括号	1
桃花朵朵开（阿牛.txt	桃花朵朵开（阿牛	桃花朵朵开	未闭合开括号	1
梦圆中国】彩谱】.txt	梦圆中国】彩谱】	梦圆中国彩谱】	多余闭括号	1
梦桂林（胡青山.txt	梦桂林（胡青山	梦桂林	未闭合开括号	1
梨花开（韩红.txt	梨花开（韩红	梨花开	未闭合开括号	1
模特（李荣浩.txt	模特（李荣浩	模特	未闭合开括号	1
母鸡带小鸡（罗晓航.txt	母鸡带小鸡（罗晓航	母鸡带小鸡	未闭合开括号	1
水流众生（李健.txt	水流众生（李健	水流众生	未闭合开括号	1
水涟漪（邓丽君.txt	水涟漪（邓丽君	水涟漪	未闭合开括号	1
永浴爱河（.txt	永浴爱河（	永浴爱河	未闭合开括号	1
永远跟着你（刘连峰.txt	永远跟着你（刘连峰	永远跟着你	未闭合开括号	1
海军航空兵之歌（韩立功.txt	海军航空兵之歌（韩立功	海军航空兵之歌	未闭合开括号	1
海滨之夜（翟可.txt	海滨之夜（翟可	海滨之夜	未闭合开括号	1
潇湘花月谣_（廖昌永.txt	潇湘花月谣_（廖昌永	潇湘花月谣	未闭合开括号	1
潮汕情（陈武峰.txt	潮汕情（陈武峰	潮汕情	未闭合开括号	1
火苗（何沐阳.txt	火苗（何沐阳	火苗	未闭合开括号	1
爱人_】彩谱】.txt	爱人 】彩谱】	爱人 彩谱】	多余闭括号	1
爱你不会改变（.txt	爱你不会改变（	爱你不会改变	未闭合开括号	1
爱你真的不容易（.txt	爱你真的不容易（	爱你真的不容易	未闭合开括号	1
爱情转移(林夕词_泽日生曲.txt	爱情转移(林夕词 泽日生曲	爱情转移	未闭合开括号	1
爱的四季（巴秀拉.txt	爱的四季（巴秀拉	爱的四季	未闭合开括号	1
爱的折磨（才潜.txt	爱的折磨（才潜	爱的折磨	未闭合开括号	1
爱的过客（清闲人.txt	爱的过客（清闲人	爱的过客	未闭合开括号	1
爱（许巍.txt	爱（许巍	爱	未闭合开括号	1
牛（黄自.txt	牛（黄自	牛	未闭合开括号	1
牡丹之歌（十大.txt	牡丹之歌（十大	牡丹之歌	未闭合开括号	1
玫瑰（贰佰.txt	玫瑰（贰佰	玫瑰	未闭合开括号	1
理想（赵雷.txt	理想（赵雷	理想	未闭合开括号	1
生来彷徨（汪峰.txt	生来彷徨（汪峰	生来彷徨	未闭合开括号	1
疯疯癫癫活到老（.txt	疯疯癫癫活到老（	疯疯癫癫活到老	未闭合开括号	1
痛爱的滋味（华政双.txt	痛爱的滋味（华政双	痛爱的滋味	未闭合开括号	1
白云（白云.txt	白云（白云	白云	未闭合开括号	1
百岁不是梦（郭瑛.txt	百岁不是梦（郭瑛	百岁不是梦	未闭合开括号	1
相识也是缘分（刘珺儿.txt	相识也是缘分（刘珺儿	相识也是缘分	未闭合开括号	1
硒都恩施等你来（.txt	硒都恩施等你来（	硒都恩施等你来	未闭合开括号	1
祝福你（李德华.txt	祝福你（李德华	祝福你	未闭合开括号	1
种树（陆军.txt	种树（陆军	种树	未闭合开括号	1
第一千滴泪（蓝雨.txt	第一千滴泪（蓝雨	第一千滴泪	未闭合开括号	1
等一分钟（笛子演奏谱）__qupu123-280541.txt	等一分钟（笛子	等一分钟	未闭合开括号	1
粉墨情缘】彩谱】.txt	粉墨情缘】彩谱】	粉墨情缘彩谱】	多余闭括号	1
红星照我去战斗（十大.txt	红星照我去战斗（十大	红星照我去战斗	未闭合开括号	1
纸风车（罗晓航.txt	纸风车（罗晓航	纸风车	未闭合开括号	1
练兵谣（石扬.txt	练兵谣（石扬	练兵谣	未闭合开括号	1
绿岛小夜曲（JP-Word4.txt	绿岛小夜曲（JP-Word4	绿岛小夜曲	未闭合开括号	1
美丽的广西（黎强词_李勇改词.txt	美丽的广西（黎强词_李勇改词	美丽的广西	未闭合开括号	1
美丽的桂林（刘瑞桂.txt	美丽的桂林（刘瑞桂	美丽的桂林	未闭合开括号	1
美好家园（金文艺.txt	美好家园（金文艺	美好家园	未闭合开括号	1
老鹰抓小鸡（罗晓航.txt	老鹰抓小鸡（罗晓航	老鹰抓小鸡	未闭合开括号	1
脸咋这么厚（刘妍.txt	脸咋这么厚（刘妍	脸咋这么厚	未闭合开括号	1
舞动草原（凤凰传奇.txt	舞动草原（凤凰传奇	舞动草原	未闭合开括号	1
花儿与少年（完整版歌词.txt	花儿与少年（完整版歌词	花儿与少年	未闭合开括号	1
花又落（合唱.txt	花又落（合唱	花又落	未闭合开括号	1
花开富贵】彩谱】.txt	花开富贵】彩谱】	花开富贵彩谱】	多余闭括号	1
苍白浅影_（.txt	苍白浅影 （	苍白浅影	未闭合开括号	1
茜雲(五木.txt	茜雲(五木	茜雲	未闭合开括号	1
董小姐（.txt	董小姐（	董小姐	未闭合开括号	1
蓝天（刘子昂.txt	蓝天（刘子昂	蓝天	未闭合开括号	1
虹的一端（.txt	虹的一端（	虹的一端	未闭合开括号	1
蝴蝶结（.txt	蝴蝶结（	蝴蝶结	未闭合开括号	1
螃蟹呀螃蟹，一个也跑不脱（表.txt	螃蟹呀螃蟹，一个也跑不脱（表	螃蟹呀螃蟹，一个也跑不脱	未闭合开括号	1
认真的雪（薛之谦.txt	认真的雪（薛之谦	认真的雪	未闭合开括号	1
让爱永久永久（金少蒙.txt	让爱永久永久（金少蒙	让爱永久永久	未闭合开括号	1
谢谢你（李健.txt	谢谢你（李健	谢谢你	未闭合开括号	1
跳绳（罗晓航.txt	跳绳（罗晓航	跳绳	未闭合开括号	1
踏歌起舞（.txt	踏歌起舞（	踏歌起舞	未闭合开括号	1
辣妹子（十大.txt	辣妹子（十大	辣妹子	未闭合开括号	1
追月（.txt	追月（	追月	未闭合开括号	1
造林小曲（女声小.txt	造林小曲（女声小	造林小曲	未闭合开括号	1
那一天】彩谱】.txt	那一天】彩谱】	那一天彩谱】	多余闭括号	1
那句话（巴秀拉.txt	那句话（巴秀拉	那句话	未闭合开括号	1
阿细跳月（.txt	阿细跳月（	阿细跳月	未闭合开括号	1
难忘今宵（十大.txt	难忘今宵（十大	难忘今宵	未闭合开括号	1
难忘的爱人】彩谱】.txt	难忘的爱人】彩谱】	难忘的爱人彩谱】	多余闭括号	1
雪娃娃（罗晓航.txt	雪娃娃（罗晓航	雪娃娃	未闭合开括号	1
青春闪亮（赖明友.txt	青春闪亮（赖明友	青春闪亮	未闭合开括号	1
领悟（李宗盛.txt	领悟（李宗盛	领悟	未闭合开括号	1
额吉的羊羔(草原丁喜.txt	额吉的羊羔(草原丁喜	额吉的羊羔	未闭合开括号	1
黄河口之恋（李红林.txt	黄河口之恋（李红林	黄河口之恋	未闭合开括号	1
龙之歌（.txt	龙之歌（	龙之歌	未闭合开括号	1
龙行天下（.txt	龙行天下（	龙行天下	未闭合开括号	1
