曲名组	版本数	疑似不同曲的对	最像的一对(相似度)	最不像的一对(相似度)	文件列表
白沙滩	2	1	白沙滩(25%)	白沙滩(25%)	白沙滩.txt | 邓丽君_95.txt
看我七十二变	2	1	看我七十二变(10%)	看我七十二变(10%)	看我七十二变.txt | 看我七十二变_2.txt
知足	2	1	知足(11%)	知足(11%)	知足.txt | 知足_歌曲类.txt
祈望	2	1	祈望(28%)	祈望(28%)	祈望.txt | 邓丽君_97.txt
祈祷--《血色童心插曲》	2	1	祈祷--《血色童心插曲》(4%)	祈祷--《血色童心插曲》(4%)	祈祷--《血色童心插曲》.txt | 祈祷.txt
祖国万岁	2	1	祖国万岁(4%)	祖国万岁(4%)	祖国万岁.txt | 祖国万岁_2.txt
祖国在我心中	2	1	祖国在我心中(17%)	祖国在我心中(17%)	祖国在我心中.txt | 祖国在我心中_2.txt
祝福	2	1	祝福(4%)	祝福(4%)	祝福.txt | 祝福_歌曲类.txt
突然好想你	2	1	突然好想你(10%)	突然好想你(10%)	突然好想你.txt | 突然好想你_2.txt
窑变	2	1	窑变(23%)	窑变(23%)	窑变.txt | 窑变_2.txt
笑忘书	2	1	笑忘书(6%)	笑忘书(6%)	笑忘书.txt | 笑忘书_2.txt
练习	2	1	练习(25%)	练习(25%)	练习.txt | 练习_歌曲类.txt
罗刹海市	2	1	罗刹海市(4%)	罗刹海市(4%)	罗刹海市.txt | 罗刹海市_2.txt
美酒加咖啡	2	1	美酒加咖啡(13%)	美酒加咖啡(13%)	美酒加咖啡.txt | 美酒加咖啡_2.txt
翠湖寒	2	1	翠湖寒(22%)	翠湖寒(22%)	翠湖寒.txt | 邓丽君_99.txt
老家	2	1	老家(5%)	老家(5%)	老家.txt | 老家_2.txt
老街	2	1	老街(9%)	老街(9%)	老街.txt | 老街_2.txt
致祖国	2	1	致祖国(2%)	致祖国(2%)	致祖国.txt | 致祖国_2.txt
舍得	2	1	舍得(4%)	舍得(4%)	舍得（网剧《双世宠妃》片尾曲）__qupu123-294759.txt | 舍得（英旗词 赵力曲）__qupu123-303049.txt
花妖	2	1	花妖(13%)	花妖(13%)	花妖.txt | 花妖_2.txt
英 雄	3	2	英 雄(58%)	英 雄(3%)	英_雄.txt | 英雄.txt | 英雄_2.txt
茉莉花	2	1	茉莉花(4%)	茉莉花(4%)	茉莉花.txt | 茉莉花_2.txt
茶花开了	3	3	茶花开了(20%)	茶花开了(16%)	茶花开了__qupu123-388046.txt | 茶花开了__qupu123-388086.txt | 茶花开了__qupu123-393514.txt
草原	6	15	草原(8%)	草原(3%)	草原.txt | 草原_2.txt | 草原_3.txt | 草原_4.txt | 草原_5.txt | 草原_6.txt
草原啊草原	3	2	草原啊草原(100%)	草原啊草原(6%)	草原啊草原.txt | 草原啊草原_2.txt | 草原啊草原_3.txt
草原我的家乡	2	1	草原我的家乡(6%)	草原我的家乡(6%)	草原我的家乡.txt | 草原，我的家乡.txt
草原的雄鹰	2	1	草原的雄鹰(14%)	草原的雄鹰(14%)	草原的雄鹰.txt | 草原的雄鹰_2.txt
草原，巩乃斯草原	2	1	草原，巩乃斯草原(22%)	草原，巩乃斯草原(22%)	草原，巩乃斯草原.txt | 草原，巩乃斯草原_2.txt
草原，我眷恋的故乡	6	15	草原，我眷恋的故乡(7%)	草原，我眷恋的故乡(3%)	草原，我眷恋的故乡.txt | 草原，我眷恋的故乡_2.txt | 草原，我眷恋的故乡_3.txt | 草原，我眷恋的故乡_4.txt | 草原，我眷恋的故乡_5.txt | 草原，我眷恋的故乡_6.txt
草原，绿色的海洋	2	1	草原，绿色的海洋(3%)	草原，绿色的海洋(3%)	草原，绿色的海洋.txt | 草原，绿色的海洋_2.txt
草原，草原	2	1	草原，草原(17%)	草原，草原(17%)	草原，草原.txt | 草原，草原_2.txt
藏	3	3	藏(23%)	藏(4%)	藏.txt | 藏_2.txt | 藏_3.txt
襟裳岬	2	1	襟裳岬(31%)	襟裳岬(31%)	襟裳岬.txt | 邓丽君_102.txt
西海情歌	2	1	西海情歌(23%)	西海情歌(23%)	西海情歌.txt | 西海情歌_2.txt
诗意	2	1	诗意(18%)	诗意(18%)	诗意.txt | 邓丽君_103.txt
诗画中国	4	2	诗画中国(100%)	诗画中国(27%)	诗画中国.txt | 诗画中国_2.txt | 诗画中国_3.txt | 诗画中国_4.txt
诗的草原_画的草原	3	2	诗的草原，画的草原(68%)	诗的草原_画的草原(4%)	诗的草原_画的草原.txt | 诗的草原，画的草原.txt | 诗的草原，画的草原_2.txt
说说笑笑	2	1	说说笑笑(20%)	说说笑笑(20%)	说说笑笑.txt | 邓丽君_104.txt
谁	6	15	谁(35%)	谁(4%)	谁.txt | 谁_2.txt | 谁_3.txt | 谁_4.txt | 谁_5.txt | 谁_歌曲类.txt
谁主沉浮	2	1	谁主沉浮(28%)	谁主沉浮(28%)	谁主沉浮.txt | 谁主沉浮_2.txt
谱	2	1	谱(3%)	谱(3%)	谱.txt | 谱_2.txt
迟来的爱	3	2	迟来的爱(64%)	迟来的爱(7%)	迟来的爱__qupu123-178033.txt | 迟来的爱__qupu123-313958.txt | 迟来的爱__qupu123-379774.txt
追梦	2	1	追梦(24%)	追梦(24%)	追梦.txt | 邓丽君_106.txt
逍遥自在	3	3	逍遥自在(22%)	逍遥自在(17%)	逍遥自在.txt | 逍遥自在_2.txt | 邓丽君_108.txt
遗忘	2	1	遗忘(24%)	遗忘(24%)	遗忘.txt | 邓丽君_109.txt
遥远的路	2	1	遥远的路(32%)	遥远的路(32%)	遥远的路.txt | 邓丽君_110.txt
问彩霞	2	1	问彩霞(19%)	问彩霞(19%)	邓丽君_113.txt | 问彩霞.txt
雪中情	2	1	雪中情(9%)	雪中情(9%)	邓丽君_116.txt | 雪中情.txt
风儿雨儿	2	1	风儿雨儿(18%)	风儿雨儿(18%)	邓丽君_118.txt | 风儿雨儿.txt
香港之夜	2	1	香港之夜(23%)	香港之夜(23%)	邓丽君_119.txt | 香港之夜.txt
黄昏里	2	1	黄昏里(31%)	黄昏里(31%)	邓丽君_120.txt | 黄昏里.txt
那一年	2	1	那一年(9%)	那一年(9%)	那一年.txt | 那一年_2.txt
郊游	2	1	郊游(31%)	郊游(31%)	郊游.txt | 郊游_2.txt
采蘑菇的小姑娘	2	1	采蘑菇的小姑娘(29%)	采蘑菇的小姑娘(29%)	采蘑菇的小姑娘.txt | 采蘑菇的小姑娘_2.txt
难忘的一天	2	1	难忘的一天(2%)	难忘的一天(2%)	难忘的一天.txt | 难忘的一天_2.txt
青春	2	1	青春(4%)	青春(4%)	青春.txt | 青春_2.txt
风筝	2	1	风筝(5%)	风筝(5%)	风筝.txt | 风筝_歌曲类.txt
风雨彩虹	2	1	风雨彩虹(32%)	风雨彩虹(32%)	风雨彩虹.txt | 风雨彩虹_2.txt
高山流水	2	1	高山流水(12%)	高山流水(12%)	高山流水.txt | 高山流水_2.txt
黄河放歌	2	1	黄河放歌(14%)	黄河放歌(14%)	黄河放歌.txt | 黄河放歌_2.txt
